Appendable_ThreadSafe @ AnnotationAppender.java:726: 1 Unique Traces, 111 Redundant Traces, 1 Preserved, 24 Remained 
Collections_SortBeforeBinarySearch @ Transformer.java:639: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ TypeList.java:303: 2 Unique Traces, 151 Redundant Traces, 2 Preserved, 25 Remained 
Collections_SortBeforeBinarySearch @ TypeList.java:336: 6 Unique Traces, 1663 Redundant Traces, 3 Preserved, 104 Remained 
Collections_SortBeforeBinarySearch @ TypeList.java:347: 5 Unique Traces, 431 Redundant Traces, 1 Preserved, 26 Remained 
Iterator_HasNext @ AbstractCurveFitter.java:108: 4 Unique Traces, 18 Redundant Traces, 2 Preserved, 2 Remained 
Iterator_HasNext @ AllArguments.java:206: 6 Unique Traces, 108 Redundant Traces, 5 Preserved, 31 Remained 
Iterator_HasNext @ AllOf.java:26: 1 Unique Traces, 32 Redundant Traces, 1 Preserved, 32 Remained 
Iterator_HasNext @ AnnotationAppender.java:312: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ AnnotationAppender.java:643: 1 Unique Traces, 178 Redundant Traces, 1 Preserved, 43 Remained 
Iterator_HasNext @ AnnotationAppender.java:743: 1 Unique Traces, 1006 Redundant Traces, 1 Preserved, 103 Remained 
Iterator_HasNext @ AnnotationDescription.java:578: 4 Unique Traces, 73 Redundant Traces, 4 Preserved, 13 Remained 
Iterator_HasNext @ AnnotationList.java:104: 4 Unique Traces, 604 Redundant Traces, 4 Preserved, 75 Remained 
Iterator_HasNext @ AnnotationList.java:130: 2 Unique Traces, 113 Redundant Traces, 2 Preserved, 11 Remained 
Iterator_HasNext @ ArrayFactory.java:294: 6 Unique Traces, 222 Redundant Traces, 2 Preserved, 21 Remained 
Iterator_HasNext @ ArrayFactory.java:310: 6 Unique Traces, 108 Redundant Traces, 5 Preserved, 14 Remained 
Iterator_HasNext @ ByteCodeAppender.java:139: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 15 Remained 
Iterator_HasNext @ ByteCodeAppender.java:155: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_HasNext @ ByteCodeElement.java:159: 7 Unique Traces, 127 Redundant Traces, 4 Preserved, 33 Remained 
Iterator_HasNext @ ClassInjector.java:115: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_HasNext @ ClassInjector.java:120: 4 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_HasNext @ ClassInjector.java:242: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_HasNext @ CollectionErasureMatcher.java:52: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ CollectionItemMatcher.java:47: 7 Unique Traces, 348 Redundant Traces, 3 Preserved, 19 Remained 
Iterator_HasNext @ CollectionOneToOneMatcher.java:58: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ CollectionOneToOneMatcher.java:59: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ ConstructorStrategy.java:197: 3 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ DynamicType.java:2910: 6 Unique Traces, 51 Redundant Traces, 6 Preserved, 13 Remained 
Iterator_HasNext @ DynamicType.java:5557: 2 Unique Traces, 59 Redundant Traces, 2 Preserved, 52 Remained 
Iterator_HasNext @ DynamicType.java:5938: 5 Unique Traces, 56 Redundant Traces, 2 Preserved, 6 Remained 
Iterator_HasNext @ DynamicType.java:5949: 5 Unique Traces, 56 Redundant Traces, 3 Preserved, 12 Remained 
Iterator_HasNext @ ElementMatcher.java:132: 1 Unique Traces, 833 Redundant Traces, 1 Preserved, 68 Remained 
Iterator_HasNext @ ElementMatcher.java:145: 6 Unique Traces, 1903 Redundant Traces, 2 Preserved, 114 Remained 
Iterator_HasNext @ ElementMatcher.java:200: 1 Unique Traces, 248 Redundant Traces, 1 Preserved, 11 Remained 
Iterator_HasNext @ ElementMatcher.java:213: 5 Unique Traces, 590 Redundant Traces, 5 Preserved, 56 Remained 
Iterator_HasNext @ ElementMatchers.java:345: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 10 Remained 
Iterator_HasNext @ ElementMatchers.java:601: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ FieldAttributeAppender.java:146: 1 Unique Traces, 154 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_HasNext @ FieldLocator.java:323: 1 Unique Traces, 121 Redundant Traces, 1 Preserved, 27 Remained 
Iterator_HasNext @ FieldRegistry.java:133: 6 Unique Traces, 55 Redundant Traces, 4 Preserved, 7 Remained 
Iterator_HasNext @ FieldRegistry.java:257: 6 Unique Traces, 149 Redundant Traces, 4 Preserved, 15 Remained 
Iterator_HasNext @ FilterableList.java:124: 16 Unique Traces, 936 Redundant Traces, 8 Preserved, 68 Remained 
Iterator_HasNext @ Implementation.java:931: 5 Unique Traces, 56 Redundant Traces, 3 Preserved, 21 Remained 
Iterator_HasNext @ Implementation.java:943: 5 Unique Traces, 56 Redundant Traces, 2 Preserved, 5 Remained 
Iterator_HasNext @ Implementation.java:946: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 35 Remained 
Iterator_HasNext @ Implementation.java:949: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 32 Remained 
Iterator_HasNext @ LatentMatcher.java:337: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ MethodAttributeAppender.java:114: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ MethodAttributeAppender.java:128: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ MethodAttributeAppender.java:202: 2 Unique Traces, 116 Redundant Traces, 2 Preserved, 45 Remained 
Iterator_HasNext @ MethodAttributeAppender.java:205: 7 Unique Traces, 111 Redundant Traces, 7 Preserved, 57 Remained 
Iterator_HasNext @ MethodAttributeAppender.java:211: 1 Unique Traces, 236 Redundant Traces, 1 Preserved, 99 Remained 
Iterator_HasNext @ MethodAttributeAppender.java:217: 2 Unique Traces, 116 Redundant Traces, 2 Preserved, 28 Remained 
Iterator_HasNext @ MethodAttributeAppender.java:470: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ MethodAttributeAppender.java:483: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 11 Remained 
Iterator_HasNext @ MethodCallProxy.java:132: 6 Unique Traces, 51 Redundant Traces, 6 Preserved, 49 Remained 
Iterator_HasNext @ MethodCallProxy.java:173: 6 Unique Traces, 51 Redundant Traces, 4 Preserved, 14 Remained 
Iterator_HasNext @ MethodCallProxy.java:319: 6 Unique Traces, 51 Redundant Traces, 4 Preserved, 9 Remained 
Iterator_HasNext @ MethodCallProxy.java:407: 6 Unique Traces, 108 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_HasNext @ MethodConstant.java:140: 6 Unique Traces, 51 Redundant Traces, 5 Preserved, 23 Remained 
Iterator_HasNext @ MethodDelegation.java:947: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Iterator_HasNext @ MethodDelegationBinder.java:537: 3 Unique Traces, 119 Redundant Traces, 3 Preserved, 7 Remained 
Iterator_HasNext @ MethodDelegationBinder.java:968: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ MethodDelegationBinder.java:983: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 31 Remained 
Iterator_HasNext @ MethodDelegationBinder.java:1092: 2 Unique Traces, 63 Redundant Traces, 2 Preserved, 52 Remained 
Iterator_HasNext @ MethodDescription.java:524: 7 Unique Traces, 487 Redundant Traces, 5 Preserved, 42 Remained 
Iterator_HasNext @ MethodDescription.java:538: 1 Unique Traces, 314 Redundant Traces, 1 Preserved, 30 Remained 
Iterator_HasNext @ MethodDescription.java:549: 7 Unique Traces, 308 Redundant Traces, 6 Preserved, 62 Remained 
Iterator_HasNext @ MethodDescription.java:1987: 6 Unique Traces, 222 Redundant Traces, 4 Preserved, 40 Remained 
Iterator_HasNext @ MethodGraph.java:641: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ MethodGraph.java:714: 3 Unique Traces, 29 Redundant Traces, 3 Preserved, 29 Remained 
Iterator_HasNext @ MethodGraph.java:1019: 1 Unique Traces, 403 Redundant Traces, 1 Preserved, 70 Remained 
Iterator_HasNext @ MethodGraph.java:1034: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ MethodGraph.java:1189: 8 Unique Traces, 16 Redundant Traces, 7 Preserved, 10 Remained 
Iterator_HasNext @ MethodGraph.java:1234: 3 Unique Traces, 7 Redundant Traces, 3 Preserved, 7 Remained 
Iterator_HasNext @ MethodGraph.java:1251: 8 Unique Traces, 4 Redundant Traces, 8 Preserved, 4 Remained 
Iterator_HasNext @ MethodList.java:89: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Iterator_HasNext @ MethodRegistry.java:458: 2 Unique Traces, 59 Redundant Traces, 2 Preserved, 9 Remained 
Iterator_HasNext @ MethodRegistry.java:479: 5 Unique Traces, 56 Redundant Traces, 4 Preserved, 20 Remained 
Iterator_HasNext @ MethodRegistry.java:483: 4 Unique Traces, 183 Redundant Traces, 4 Preserved, 25 Remained 
Iterator_HasNext @ MethodRegistry.java:505: 3 Unique Traces, 58 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_HasNext @ MethodRegistry.java:508: 4 Unique Traces, 124 Redundant Traces, 4 Preserved, 24 Remained 
Iterator_HasNext @ MethodRegistry.java:738: 5 Unique Traces, 56 Redundant Traces, 4 Preserved, 15 Remained 
Iterator_HasNext @ MethodVariableAccess.java:233: 6 Unique Traces, 122 Redundant Traces, 4 Preserved, 15 Remained 
Iterator_HasNext @ ModifierContributor.java:202: 4 Unique Traces, 702 Redundant Traces, 3 Preserved, 42 Remained 
Iterator_HasNext @ MultipleParentClassLoader.java:358: 4 Unique Traces, 12 Redundant Traces, 4 Preserved, 12 Remained 
Iterator_HasNext @ MultipleParentClassLoader.java:386: 4 Unique Traces, 12 Redundant Traces, 4 Preserved, 2 Remained 
Iterator_HasNext @ MultipleParentClassLoader.java:393: 2 Unique Traces, 46 Redundant Traces, 2 Preserved, 15 Remained 
Iterator_HasNext @ MultipleParentClassLoader.java:400: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 22 Remained 
Iterator_HasNext @ ParameterList.java:82: 2 Unique Traces, 309 Redundant Traces, 1 Preserved, 25 Remained 
Iterator_HasNext @ ParameterList.java:95: 6 Unique Traces, 69 Redundant Traces, 6 Preserved, 29 Remained 
Iterator_HasNext @ ParameterList.java:106: 7 Unique Traces, 4335 Redundant Traces, 4 Preserved, 198 Remained 
Iterator_HasNext @ ParameterList.java:536: 6 Unique Traces, 1913 Redundant Traces, 1 Preserved, 97 Remained 
Iterator_HasNext @ PolynomialCurveFitter.java:105: 4 Unique Traces, 18 Redundant Traces, 4 Preserved, 14 Remained 
Iterator_HasNext @ RecordComponentRegistry.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ StackManipulation.java:216: 10 Unique Traces, 2045 Redundant Traces, 3 Preserved, 126 Remained 
Iterator_HasNext @ StackManipulation.java:229: 4 Unique Traces, 1470 Redundant Traces, 2 Preserved, 91 Remained 
Iterator_HasNext @ StackManipulation.java:242: 18 Unique Traces, 881 Redundant Traces, 18 Preserved, 881 Remained 
Iterator_HasNext @ SubclassDynamicTypeBuilder.java:243: 4 Unique Traces, 57 Redundant Traces, 2 Preserved, 18 Remained 
Iterator_HasNext @ TargetMethodAnnotationDrivenBinder.java:84: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Iterator_HasNext @ TargetMethodAnnotationDrivenBinder.java:140: 3 Unique Traces, 119 Redundant Traces, 3 Preserved, 11 Remained 
Iterator_HasNext @ TargetMethodAnnotationDrivenBinder.java:508: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ TargetMethodAnnotationDrivenBinder.java:526: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
Iterator_HasNext @ Transformer.java:635: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ Transformer.java:648: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 47 Remained 
Iterator_HasNext @ TypeAttributeAppender.java:87: 2 Unique Traces, 59 Redundant Traces, 1 Preserved, 15 Remained 
Iterator_HasNext @ TypeAttributeAppender.java:92: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 16 Remained 
Iterator_HasNext @ TypeCache.java:454: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
Iterator_HasNext @ TypeDescription.java:7700: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 33 Remained 
Iterator_HasNext @ TypeDescription.java:7858: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ TypeDescription.java:7874: 2 Unique Traces, 59 Redundant Traces, 2 Preserved, 7 Remained 
Iterator_HasNext @ TypeList.java:99: 3 Unique Traces, 373 Redundant Traces, 3 Preserved, 71 Remained 
Iterator_HasNext @ TypeList.java:302: 3 Unique Traces, 344 Redundant Traces, 3 Preserved, 45 Remained 
Iterator_HasNext @ TypeList.java:313: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 20 Remained 
Iterator_HasNext @ TypeList.java:324: 7 Unique Traces, 729 Redundant Traces, 5 Preserved, 113 Remained 
Iterator_HasNext @ TypeList.java:335: 7 Unique Traces, 2980 Redundant Traces, 4 Preserved, 167 Remained 
Iterator_HasNext @ TypeList.java:346: 6 Unique Traces, 735 Redundant Traces, 3 Preserved, 65 Remained 
Iterator_HasNext @ TypeResolutionStrategy.java:102: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_HasNext @ TypeWriter.java:606: 1 Unique Traces, 173 Redundant Traces, 1 Preserved, 23 Remained 
Iterator_HasNext @ TypeWriter.java:1238: 2 Unique Traces, 252 Redundant Traces, 1 Preserved, 36 Remained 
Iterator_HasNext @ TypeWriter.java:1283: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ TypeWriter.java:5918: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 55 Remained 
Iterator_HasNext @ TypeWriter.java:5922: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ TypeWriter.java:5942: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 15 Remained 
Iterator_HasNext @ TypeWriter.java:5952: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_HasNext @ TypeWriter.java:5955: 6 Unique Traces, 55 Redundant Traces, 4 Preserved, 5 Remained 
Iterator_HasNext @ TypeWriter.java:5958: 5 Unique Traces, 56 Redundant Traces, 3 Preserved, 4 Remained 
Iterator_RemoveOnce @ AbstractCurveFitter.java:108: 4 Unique Traces, 18 Redundant Traces, 4 Preserved, 18 Remained 
Iterator_RemoveOnce @ AllArguments.java:206: 5 Unique Traces, 63 Redundant Traces, 5 Preserved, 18 Remained 
Iterator_RemoveOnce @ AllOf.java:26: 1 Unique Traces, 32 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_RemoveOnce @ AnnotationDescription.java:578: 3 Unique Traces, 9 Redundant Traces, 3 Preserved, 9 Remained 
Iterator_RemoveOnce @ AnnotationList.java:104: 2 Unique Traces, 131 Redundant Traces, 2 Preserved, 74 Remained 
Iterator_RemoveOnce @ AnnotationList.java:130: 2 Unique Traces, 113 Redundant Traces, 2 Preserved, 18 Remained 
Iterator_RemoveOnce @ ArrayFactory.java:294: 5 Unique Traces, 131 Redundant Traces, 4 Preserved, 32 Remained 
Iterator_RemoveOnce @ ArrayFactory.java:310: 5 Unique Traces, 63 Redundant Traces, 3 Preserved, 7 Remained 
Iterator_RemoveOnce @ ByteCodeAppender.java:139: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 32 Remained 
Iterator_RemoveOnce @ ByteCodeAppender.java:155: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_RemoveOnce @ ByteCodeElement.java:159: 6 Unique Traces, 59 Redundant Traces, 6 Preserved, 59 Remained 
Iterator_RemoveOnce @ ClassInjector.java:115: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_RemoveOnce @ ClassInjector.java:120: 4 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_RemoveOnce @ ClassInjector.java:242: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_RemoveOnce @ CollectionErasureMatcher.java:52: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ CollectionItemMatcher.java:47: 6 Unique Traces, 110 Redundant Traces, 5 Preserved, 35 Remained 
Iterator_RemoveOnce @ CollectionOneToOneMatcher.java:58: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ CollectionOneToOneMatcher.java:59: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ ConstructorStrategy.java:197: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Iterator_RemoveOnce @ DynamicType.java:2910: 6 Unique Traces, 51 Redundant Traces, 6 Preserved, 18 Remained 
Iterator_RemoveOnce @ DynamicType.java:5557: 2 Unique Traces, 59 Redundant Traces, 2 Preserved, 53 Remained 
Iterator_RemoveOnce @ DynamicType.java:5938: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_RemoveOnce @ DynamicType.java:5949: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_RemoveOnce @ ElementMatcher.java:132: 1 Unique Traces, 833 Redundant Traces, 1 Preserved, 44 Remained 
Iterator_RemoveOnce @ ElementMatcher.java:145: 4 Unique Traces, 1905 Redundant Traces, 2 Preserved, 150 Remained 
Iterator_RemoveOnce @ ElementMatcher.java:200: 1 Unique Traces, 248 Redundant Traces, 1 Preserved, 19 Remained 
Iterator_RemoveOnce @ ElementMatcher.java:213: 4 Unique Traces, 591 Redundant Traces, 4 Preserved, 67 Remained 
Iterator_RemoveOnce @ ElementMatchers.java:601: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ FieldLocator.java:323: 1 Unique Traces, 121 Redundant Traces, 1 Preserved, 16 Remained 
Iterator_RemoveOnce @ FieldRegistry.java:133: 6 Unique Traces, 55 Redundant Traces, 4 Preserved, 14 Remained 
Iterator_RemoveOnce @ FieldRegistry.java:257: 6 Unique Traces, 149 Redundant Traces, 6 Preserved, 17 Remained 
Iterator_RemoveOnce @ FilterableList.java:124: 15 Unique Traces, 547 Redundant Traces, 3 Preserved, 28 Remained 
Iterator_RemoveOnce @ Implementation.java:931: 4 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_RemoveOnce @ Implementation.java:943: 4 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_RemoveOnce @ LatentMatcher.java:337: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ MethodAttributeAppender.java:114: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ MethodAttributeAppender.java:128: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ MethodAttributeAppender.java:202: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ MethodAttributeAppender.java:205: 6 Unique Traces, 85 Redundant Traces, 6 Preserved, 32 Remained 
Iterator_RemoveOnce @ MethodAttributeAppender.java:217: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ MethodAttributeAppender.java:470: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ MethodAttributeAppender.java:483: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 34 Remained 
Iterator_RemoveOnce @ MethodCallProxy.java:132: 5 Unique Traces, 29 Redundant Traces, 5 Preserved, 13 Remained 
Iterator_RemoveOnce @ MethodCallProxy.java:173: 6 Unique Traces, 51 Redundant Traces, 6 Preserved, 27 Remained 
Iterator_RemoveOnce @ MethodCallProxy.java:319: 6 Unique Traces, 51 Redundant Traces, 6 Preserved, 23 Remained 
Iterator_RemoveOnce @ MethodCallProxy.java:407: 6 Unique Traces, 108 Redundant Traces, 4 Preserved, 10 Remained 
Iterator_RemoveOnce @ MethodConstant.java:140: 5 Unique Traces, 29 Redundant Traces, 5 Preserved, 10 Remained 
Iterator_RemoveOnce @ MethodDelegation.java:947: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Iterator_RemoveOnce @ MethodDelegationBinder.java:538: 3 Unique Traces, 119 Redundant Traces, 3 Preserved, 28 Remained 
Iterator_RemoveOnce @ MethodDelegationBinder.java:968: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ MethodDelegationBinder.java:984: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 26 Remained 
Iterator_RemoveOnce @ MethodDelegationBinder.java:1092: 2 Unique Traces, 63 Redundant Traces, 2 Preserved, 12 Remained 
Iterator_RemoveOnce @ MethodDescription.java:524: 6 Unique Traces, 260 Redundant Traces, 5 Preserved, 27 Remained 
Iterator_RemoveOnce @ MethodDescription.java:549: 6 Unique Traces, 135 Redundant Traces, 5 Preserved, 11 Remained 
Iterator_RemoveOnce @ MethodDescription.java:1987: 6 Unique Traces, 222 Redundant Traces, 4 Preserved, 28 Remained 
Iterator_RemoveOnce @ MethodGraph.java:641: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ MethodGraph.java:714: 2 Unique Traces, 14 Redundant Traces, 2 Preserved, 14 Remained 
Iterator_RemoveOnce @ MethodGraph.java:1019: 1 Unique Traces, 403 Redundant Traces, 1 Preserved, 117 Remained 
Iterator_RemoveOnce @ MethodGraph.java:1034: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_RemoveOnce @ MethodGraph.java:1189: 8 Unique Traces, 16 Redundant Traces, 8 Preserved, 16 Remained 
Iterator_RemoveOnce @ MethodGraph.java:1234: 3 Unique Traces, 7 Redundant Traces, 3 Preserved, 7 Remained 
Iterator_RemoveOnce @ MethodGraph.java:1251: 8 Unique Traces, 4 Redundant Traces, 8 Preserved, 4 Remained 
Iterator_RemoveOnce @ MethodList.java:89: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Iterator_RemoveOnce @ MethodRegistry.java:458: 2 Unique Traces, 59 Redundant Traces, 2 Preserved, 40 Remained 
Iterator_RemoveOnce @ MethodRegistry.java:479: 5 Unique Traces, 56 Redundant Traces, 3 Preserved, 8 Remained 
Iterator_RemoveOnce @ MethodRegistry.java:483: 4 Unique Traces, 183 Redundant Traces, 4 Preserved, 34 Remained 
Iterator_RemoveOnce @ MethodRegistry.java:505: 3 Unique Traces, 58 Redundant Traces, 3 Preserved, 47 Remained 
Iterator_RemoveOnce @ MethodRegistry.java:508: 3 Unique Traces, 125 Redundant Traces, 2 Preserved, 8 Remained 
Iterator_RemoveOnce @ MethodRegistry.java:738: 5 Unique Traces, 56 Redundant Traces, 3 Preserved, 10 Remained 
Iterator_RemoveOnce @ MethodVariableAccess.java:233: 5 Unique Traces, 71 Redundant Traces, 3 Preserved, 7 Remained 
Iterator_RemoveOnce @ ModifierContributor.java:202: 3 Unique Traces, 646 Redundant Traces, 3 Preserved, 45 Remained 
Iterator_RemoveOnce @ MultipleParentClassLoader.java:358: 3 Unique Traces, 9 Redundant Traces, 3 Preserved, 9 Remained 
Iterator_RemoveOnce @ MultipleParentClassLoader.java:386: 3 Unique Traces, 9 Redundant Traces, 3 Preserved, 3 Remained 
Iterator_RemoveOnce @ MultipleParentClassLoader.java:394: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 6 Remained 
Iterator_RemoveOnce @ ParameterList.java:82: 1 Unique Traces, 140 Redundant Traces, 1 Preserved, 46 Remained 
Iterator_RemoveOnce @ ParameterList.java:95: 5 Unique Traces, 37 Redundant Traces, 5 Preserved, 37 Remained 
Iterator_RemoveOnce @ ParameterList.java:106: 6 Unique Traces, 2437 Redundant Traces, 3 Preserved, 144 Remained 
Iterator_RemoveOnce @ ParameterList.java:536: 5 Unique Traces, 1085 Redundant Traces, 5 Preserved, 75 Remained 
Iterator_RemoveOnce @ PolynomialCurveFitter.java:105: 4 Unique Traces, 18 Redundant Traces, 4 Preserved, 18 Remained 
Iterator_RemoveOnce @ StackManipulation.java:216: 9 Unique Traces, 1994 Redundant Traces, 3 Preserved, 102 Remained 
Iterator_RemoveOnce @ StackManipulation.java:229: 4 Unique Traces, 1470 Redundant Traces, 2 Preserved, 132 Remained 
Iterator_RemoveOnce @ StackManipulation.java:242: 17 Unique Traces, 830 Redundant Traces, 17 Preserved, 830 Remained 
Iterator_RemoveOnce @ SubclassDynamicTypeBuilder.java:243: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Iterator_RemoveOnce @ TargetMethodAnnotationDrivenBinder.java:84: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Iterator_RemoveOnce @ TargetMethodAnnotationDrivenBinder.java:140: 3 Unique Traces, 119 Redundant Traces, 3 Preserved, 64 Remained 
Iterator_RemoveOnce @ TargetMethodAnnotationDrivenBinder.java:508: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ TargetMethodAnnotationDrivenBinder.java:526: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
Iterator_RemoveOnce @ Transformer.java:635: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ Transformer.java:648: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ TypeAttributeAppender.java:87: 2 Unique Traces, 59 Redundant Traces, 2 Preserved, 13 Remained 
Iterator_RemoveOnce @ TypeCache.java:454: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 12 Remained 
Iterator_RemoveOnce @ TypeDescription.java:7874: 2 Unique Traces, 59 Redundant Traces, 2 Preserved, 13 Remained 
Iterator_RemoveOnce @ TypeList.java:99: 2 Unique Traces, 180 Redundant Traces, 2 Preserved, 13 Remained 
Iterator_RemoveOnce @ TypeList.java:302: 2 Unique Traces, 151 Redundant Traces, 1 Preserved, 11 Remained 
Iterator_RemoveOnce @ TypeList.java:324: 6 Unique Traces, 424 Redundant Traces, 5 Preserved, 42 Remained 
Iterator_RemoveOnce @ TypeList.java:335: 6 Unique Traces, 1663 Redundant Traces, 4 Preserved, 90 Remained 
Iterator_RemoveOnce @ TypeList.java:346: 5 Unique Traces, 431 Redundant Traces, 3 Preserved, 43 Remained 
Iterator_RemoveOnce @ TypeResolutionStrategy.java:102: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
