Appendable_ThreadSafe @ AuxiliaryType.java:166: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ CachedFields.java:193: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CollectionErasureMatcher.java:53: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ CompoundList.java:47: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ CompoundList.java:66: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ CompoundList.java:82: 1 Unique Traces, 70 Redundant Traces, 1 Preserved, 37 Remained 
Collections_SortBeforeBinarySearch @ ConstructorStrategy.java:198: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ ElementMatcher.java:134: 1 Unique Traces, 67 Redundant Traces, 1 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ ElementMatcher.java:136: 2 Unique Traces, 123 Redundant Traces, 1 Preserved, 15 Remained 
Collections_SortBeforeBinarySearch @ ElementMatcher.java:202: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ ElementMatcher.java:204: 2 Unique Traces, 35 Redundant Traces, 2 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ ElementMatchers.java:602: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ FieldRegistry.java:122: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ FieldRegistry.java:139: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ FilterableList.java:126: 9 Unique Traces, 119 Redundant Traces, 1 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ FlatBuffersHelper.java:151: 10 Unique Traces, 56002 Redundant Traces, 10 Preserved, 56002 Remained 
Collections_SortBeforeBinarySearch @ Kryo.java:436: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LeafHelper.java:34: 4 Unique Traces, 10028 Redundant Traces, 3 Preserved, 541 Remained 
Collections_SortBeforeBinarySearch @ MethodAttributeAppender.java:118: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ MethodAttributeAppender.java:129: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ MethodAttributeAppender.java:474: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ MethodCallProxy.java:408: 2 Unique Traces, 14 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ MethodConstant.java:141: 2 Unique Traces, 5 Redundant Traces, 2 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ MethodDelegation.java:950: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ MethodDelegationBinder.java:455: 4 Unique Traces, 38 Redundant Traces, 4 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ MethodDelegationBinder.java:972: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MethodDelegationBinder.java:1095: 2 Unique Traces, 22 Redundant Traces, 2 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ MethodDescription.java:1988: 2 Unique Traces, 30 Redundant Traces, 1 Preserved, 22 Remained 
Collections_SortBeforeBinarySearch @ MethodList.java:90: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ MethodRegistry.java:503: 4 Unique Traces, 7 Redundant Traces, 4 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ MethodVariableAccess.java:235: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ MultipleParentClassLoader.java:354: 3 Unique Traces, 6 Redundant Traces, 3 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ MultipleParentClassLoader.java:379: 4 Unique Traces, 10 Redundant Traces, 4 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ NonLeafFlatBuffers.java:130: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ NonLeafHelper.java:89: 1 Unique Traces, 64074 Redundant Traces, 1 Preserved, 3152 Remained 
Collections_SortBeforeBinarySearch @ NonLeafHelper.java:90: 1 Unique Traces, 64074 Redundant Traces, 1 Preserved, 3139 Remained 
Collections_SortBeforeBinarySearch @ NonLeafHelper.java:91: 1 Unique Traces, 64074 Redundant Traces, 1 Preserved, 3247 Remained 
Collections_SortBeforeBinarySearch @ NonLeafHelper.java:100: 2 Unique Traces, 5940 Redundant Traces, 2 Preserved, 332 Remained 
Collections_SortBeforeBinarySearch @ NonLeafHelper.java:101: 2 Unique Traces, 5940 Redundant Traces, 2 Preserved, 354 Remained 
Collections_SortBeforeBinarySearch @ OperatorToObservableList.java:110: 14 Unique Traces, 47 Redundant Traces, 4 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ OperatorToObservableSortedList.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ParameterList.java:96: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ ParameterList.java:107: 3 Unique Traces, 437 Redundant Traces, 3 Preserved, 30 Remained 
Collections_SortBeforeBinarySearch @ RTree.java:393: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RTree.java:400: 1 Unique Traces, 420 Redundant Traces, 1 Preserved, 20 Remained 
Collections_SortBeforeBinarySearch @ RTree.java:407: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ RTree.java:412: 12 Unique Traces, 8 Redundant Traces, 11 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ RTreeTest.java:129: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RTreeTest.java:202: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RTreeTest.java:263: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RTreeTest.java:770: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SerializerFlatBuffers.java:157: 8 Unique Traces, 1822 Redundant Traces, 7 Preserved, 104 Remained 
Collections_SortBeforeBinarySearch @ SplitterRStarTest.java:21: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ StackManipulation.java:218: 5 Unique Traces, 50 Redundant Traces, 3 Preserved, 26 Remained 
Collections_SortBeforeBinarySearch @ StackManipulation.java:220: 8 Unique Traces, 306 Redundant Traces, 8 Preserved, 66 Remained 
Collections_SortBeforeBinarySearch @ TargetMethodAnnotationDrivenBinder.java:85: 3 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ TestSubscriber.java:277: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Transformer.java:639: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ TypeList.java:303: 2 Unique Traces, 22 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ TypeList.java:336: 4 Unique Traces, 351 Redundant Traces, 3 Preserved, 32 Remained 
Collections_SortBeforeBinarySearch @ TypeList.java:347: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ Util.java:80: 1 Unique Traces, 70016 Redundant Traces, 1 Preserved, 3564 Remained 
Collections_SortBeforeBinarySearch @ Util.java:90: 1 Unique Traces, 7001 Redundant Traces, 1 Preserved, 329 Remained 
Collections_SortBeforeBinarySearch @ Utilities.java:30: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Visualizer.java:71: 16 Unique Traces, 24767 Redundant Traces, 7 Preserved, 1241 Remained 
Collections_SortBeforeBinarySearch @ Visualizer.java:80: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
Console_CloseReader @ Utilities.java:32: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_ManipulateAfterClose @ GreekEarthquakes.java:40: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
InputStream_ManipulateAfterClose @ Serializers.java:202: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
InputStream_MarkAfterClose @ GreekEarthquakes.java:40: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
InputStream_MarkAfterClose @ Serializers.java:202: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ AllArguments.java:206: 3 Unique Traces, 33 Redundant Traces, 3 Preserved, 33 Remained 
Iterator_HasNext @ AnnotationAppender.java:643: 1 Unique Traces, 36 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ AnnotationAppender.java:743: 1 Unique Traces, 127 Redundant Traces, 1 Preserved, 42 Remained 
Iterator_HasNext @ AnnotationDescription.java:578: 4 Unique Traces, 32 Redundant Traces, 3 Preserved, 10 Remained 
Iterator_HasNext @ AnnotationList.java:104: 4 Unique Traces, 141 Redundant Traces, 3 Preserved, 12 Remained 
Iterator_HasNext @ AnnotationList.java:130: 2 Unique Traces, 14 Redundant Traces, 2 Preserved, 13 Remained 
Iterator_HasNext @ ArrayFactory.java:294: 3 Unique Traces, 59 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_HasNext @ ArrayFactory.java:310: 3 Unique Traces, 33 Redundant Traces, 3 Preserved, 13 Remained 
Iterator_HasNext @ ByteCodeAppender.java:139: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Iterator_HasNext @ ByteCodeAppender.java:155: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_HasNext @ ByteCodeElement.java:159: 3 Unique Traces, 23 Redundant Traces, 3 Preserved, 22 Remained 
Iterator_HasNext @ ClassInjector.java:115: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_HasNext @ ClassInjector.java:120: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_HasNext @ ClassInjector.java:242: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_HasNext @ CollectionErasureMatcher.java:52: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ CollectionItemMatcher.java:47: 3 Unique Traces, 111 Redundant Traces, 3 Preserved, 10 Remained 
Iterator_HasNext @ CollectionOneToOneMatcher.java:58: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ CollectionOneToOneMatcher.java:59: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ CompositeSubscription.java:184: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ConstructorStrategy.java:197: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_HasNext @ DynamicType.java:2962: 2 Unique Traces, 6 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ DynamicType.java:5688: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 6 Remained 
Iterator_HasNext @ DynamicType.java:6089: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 4 Remained 
Iterator_HasNext @ DynamicType.java:6100: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 8 Remained 
Iterator_HasNext @ ElementMatcher.java:132: 1 Unique Traces, 192 Redundant Traces, 1 Preserved, 14 Remained 
Iterator_HasNext @ ElementMatcher.java:145: 6 Unique Traces, 628 Redundant Traces, 2 Preserved, 54 Remained 
Iterator_HasNext @ ElementMatcher.java:200: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ ElementMatcher.java:213: 5 Unique Traces, 160 Redundant Traces, 4 Preserved, 30 Remained 
Iterator_HasNext @ ElementMatchers.java:345: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Iterator_HasNext @ ElementMatchers.java:601: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ FieldAttributeAppender.java:146: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ FieldLocator.java:323: 1 Unique Traces, 41 Redundant Traces, 1 Preserved, 11 Remained 
Iterator_HasNext @ FieldRegistry.java:133: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 9 Remained 
Iterator_HasNext @ FieldRegistry.java:257: 2 Unique Traces, 13 Redundant Traces, 2 Preserved, 5 Remained 
Iterator_HasNext @ FilterableList.java:124: 10 Unique Traces, 264 Redundant Traces, 4 Preserved, 17 Remained 
Iterator_HasNext @ ImmutableStackTest.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStackTest.java:59: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStackTest.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStackTest.java:69: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStackTest.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ Implementation.java:415: 2 Unique Traces, 8 Redundant Traces, 2 Preserved, 8 Remained 
Iterator_HasNext @ Implementation.java:1227: 4 Unique Traces, 7 Redundant Traces, 4 Preserved, 7 Remained 
Iterator_HasNext @ Implementation.java:1239: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 8 Remained 
Iterator_HasNext @ Implementation.java:1242: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_HasNext @ Implementation.java:1245: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ LatentMatcher.java:336: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ MethodAttributeAppender.java:114: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ MethodAttributeAppender.java:128: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ MethodAttributeAppender.java:202: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_HasNext @ MethodAttributeAppender.java:205: 3 Unique Traces, 23 Redundant Traces, 2 Preserved, 5 Remained 
Iterator_HasNext @ MethodAttributeAppender.java:211: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Iterator_HasNext @ MethodAttributeAppender.java:217: 2 Unique Traces, 24 Redundant Traces, 2 Preserved, 15 Remained 
Iterator_HasNext @ MethodAttributeAppender.java:470: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ MethodAttributeAppender.java:483: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ MethodCallProxy.java:132: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Iterator_HasNext @ MethodCallProxy.java:173: 2 Unique Traces, 6 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ MethodCallProxy.java:319: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Iterator_HasNext @ MethodCallProxy.java:407: 2 Unique Traces, 14 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ MethodConstant.java:140: 3 Unique Traces, 15 Redundant Traces, 3 Preserved, 15 Remained 
Iterator_HasNext @ MethodDelegation.java:949: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_HasNext @ MethodDelegationBinder.java:537: 3 Unique Traces, 29 Redundant Traces, 3 Preserved, 23 Remained 
Iterator_HasNext @ MethodDelegationBinder.java:968: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ MethodDelegationBinder.java:983: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ MethodDelegationBinder.java:1092: 2 Unique Traces, 22 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ MethodDescription.java:524: 3 Unique Traces, 91 Redundant Traces, 2 Preserved, 12 Remained 
Iterator_HasNext @ MethodDescription.java:538: 1 Unique Traces, 69 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ MethodDescription.java:549: 3 Unique Traces, 67 Redundant Traces, 3 Preserved, 34 Remained 
Iterator_HasNext @ MethodDescription.java:1987: 2 Unique Traces, 30 Redundant Traces, 1 Preserved, 14 Remained 
Iterator_HasNext @ MethodGraph.java:641: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_HasNext @ MethodGraph.java:714: 3 Unique Traces, 13 Redundant Traces, 3 Preserved, 10 Remained 
Iterator_HasNext @ MethodGraph.java:1019: 1 Unique Traces, 219 Redundant Traces, 1 Preserved, 17 Remained 
Iterator_HasNext @ MethodGraph.java:1189: 6 Unique Traces, 6 Redundant Traces, 6 Preserved, 6 Remained 
Iterator_HasNext @ MethodGraph.java:1212: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ MethodGraph.java:1234: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_HasNext @ MethodGraph.java:1251: 8 Unique Traces, 3 Redundant Traces, 8 Preserved, 3 Remained 
Iterator_HasNext @ MethodList.java:89: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_HasNext @ MethodRegistry.java:458: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 9 Remained 
Iterator_HasNext @ MethodRegistry.java:479: 4 Unique Traces, 7 Redundant Traces, 4 Preserved, 7 Remained 
Iterator_HasNext @ MethodRegistry.java:483: 4 Unique Traces, 42 Redundant Traces, 3 Preserved, 8 Remained 
Iterator_HasNext @ MethodRegistry.java:505: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 9 Remained 
Iterator_HasNext @ MethodRegistry.java:508: 4 Unique Traces, 20 Redundant Traces, 4 Preserved, 20 Remained 
Iterator_HasNext @ MethodRegistry.java:738: 4 Unique Traces, 7 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_HasNext @ MethodVariableAccess.java:233: 3 Unique Traces, 18 Redundant Traces, 2 Preserved, 13 Remained 
Iterator_HasNext @ ModifierContributor.java:202: 4 Unique Traces, 126 Redundant Traces, 3 Preserved, 13 Remained 
Iterator_HasNext @ MultipleParentClassLoader.java:353: 4 Unique Traces, 8 Redundant Traces, 4 Preserved, 7 Remained 
Iterator_HasNext @ MultipleParentClassLoader.java:381: 4 Unique Traces, 10 Redundant Traces, 4 Preserved, 10 Remained 
Iterator_HasNext @ MultipleParentClassLoader.java:388: 2 Unique Traces, 38 Redundant Traces, 2 Preserved, 10 Remained 
Iterator_HasNext @ MultipleParentClassLoader.java:395: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 11 Remained 
Iterator_HasNext @ NonLeafHelper.java:82: 8 Unique Traces, 102255 Redundant Traces, 5 Preserved, 5153 Remained 
Iterator_HasNext @ OperatorGroupByEvicting.java:255: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ParameterList.java:82: 2 Unique Traces, 65 Redundant Traces, 2 Preserved, 23 Remained 
Iterator_HasNext @ ParameterList.java:95: 3 Unique Traces, 20 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ ParameterList.java:106: 4 Unique Traces, 1106 Redundant Traces, 3 Preserved, 59 Remained 
Iterator_HasNext @ ParameterList.java:536: 2 Unique Traces, 146 Redundant Traces, 1 Preserved, 13 Remained 
Iterator_HasNext @ RTree.java:492: 8 Unique Traces, 10028 Redundant Traces, 5 Preserved, 507 Remained 
Iterator_HasNext @ RTree.java:542: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RTree.java:557: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RTree.java:955: 2 Unique Traces, 12 Redundant Traces, 2 Preserved, 8 Remained 
Iterator_HasNext @ RTreeTest.java:645: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RxJavaPlugins.java:301: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ StackManipulation.java:216: 7 Unique Traces, 379 Redundant Traces, 5 Preserved, 24 Remained 
Iterator_HasNext @ StackManipulation.java:229: 4 Unique Traces, 324 Redundant Traces, 2 Preserved, 25 Remained 
Iterator_HasNext @ StackManipulation.java:242: 10 Unique Traces, 209 Redundant Traces, 10 Preserved, 209 Remained 
Iterator_HasNext @ SubclassDynamicTypeBuilder.java:242: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 8 Remained 
Iterator_HasNext @ TargetMethodAnnotationDrivenBinder.java:84: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Iterator_HasNext @ TargetMethodAnnotationDrivenBinder.java:140: 4 Unique Traces, 38 Redundant Traces, 4 Preserved, 27 Remained 
Iterator_HasNext @ TargetMethodAnnotationDrivenBinder.java:508: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ TargetMethodAnnotationDrivenBinder.java:526: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
Iterator_HasNext @ Transformer.java:635: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ Transformer.java:648: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Iterator_HasNext @ TypeAttributeAppender.java:87: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 8 Remained 
Iterator_HasNext @ TypeAttributeAppender.java:92: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Iterator_HasNext @ TypeCache.java:454: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ TypeDescription.java:5148: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ TypeDescription.java:7777: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 6 Remained 
Iterator_HasNext @ TypeDescription.java:7935: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Iterator_HasNext @ TypeDescription.java:7951: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 6 Remained 
Iterator_HasNext @ TypeList.java:99: 4 Unique Traces, 74 Redundant Traces, 4 Preserved, 74 Remained 
Iterator_HasNext @ TypeList.java:302: 3 Unique Traces, 95 Redundant Traces, 2 Preserved, 15 Remained 
Iterator_HasNext @ TypeList.java:313: 1 Unique Traces, 22 Redundant Traces, 1 Preserved, 13 Remained 
Iterator_HasNext @ TypeList.java:324: 4 Unique Traces, 150 Redundant Traces, 4 Preserved, 13 Remained 
Iterator_HasNext @ TypeList.java:335: 5 Unique Traces, 856 Redundant Traces, 4 Preserved, 79 Remained 
Iterator_HasNext @ TypeList.java:346: 2 Unique Traces, 102 Redundant Traces, 1 Preserved, 14 Remained 
Iterator_HasNext @ TypeResolutionStrategy.java:102: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_HasNext @ TypeWriter.java:617: 1 Unique Traces, 45 Redundant Traces, 1 Preserved, 20 Remained 
Iterator_HasNext @ TypeWriter.java:1249: 1 Unique Traces, 58 Redundant Traces, 1 Preserved, 11 Remained 
Iterator_HasNext @ TypeWriter.java:6002: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_HasNext @ TypeWriter.java:6006: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Iterator_HasNext @ TypeWriter.java:6026: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ TypeWriter.java:6036: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Iterator_HasNext @ TypeWriter.java:6039: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 7 Remained 
Iterator_HasNext @ TypeWriter.java:6042: 4 Unique Traces, 7 Redundant Traces, 4 Preserved, 7 Remained 
Iterator_HasNext @ Visualizer.java:74: 8 Unique Traces, 20445 Redundant Traces, 5 Preserved, 1015 Remained 
Iterator_HasNext @ Visualizer.java:87: 7 Unique Traces, 0 Redundant Traces, 7 Preserved, 0 Remained 
Iterator_RemoveOnce @ AllArguments.java:206: 2 Unique Traces, 12 Redundant Traces, 2 Preserved, 12 Remained 
Iterator_RemoveOnce @ AnnotationDescription.java:578: 3 Unique Traces, 9 Redundant Traces, 3 Preserved, 9 Remained 
Iterator_RemoveOnce @ AnnotationList.java:104: 2 Unique Traces, 52 Redundant Traces, 2 Preserved, 19 Remained 
Iterator_RemoveOnce @ AnnotationList.java:130: 2 Unique Traces, 14 Redundant Traces, 2 Preserved, 13 Remained 
Iterator_RemoveOnce @ ArrayFactory.java:294: 2 Unique Traces, 20 Redundant Traces, 2 Preserved, 4 Remained 
Iterator_RemoveOnce @ ArrayFactory.java:310: 2 Unique Traces, 12 Redundant Traces, 2 Preserved, 12 Remained 
Iterator_RemoveOnce @ ByteCodeAppender.java:139: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Iterator_RemoveOnce @ ByteCodeAppender.java:155: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_RemoveOnce @ ByteCodeElement.java:159: 2 Unique Traces, 8 Redundant Traces, 2 Preserved, 8 Remained 
Iterator_RemoveOnce @ ClassInjector.java:115: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_RemoveOnce @ ClassInjector.java:120: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_RemoveOnce @ ClassInjector.java:242: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_RemoveOnce @ CollectionErasureMatcher.java:52: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ CollectionItemMatcher.java:47: 2 Unique Traces, 29 Redundant Traces, 2 Preserved, 29 Remained 
Iterator_RemoveOnce @ CollectionOneToOneMatcher.java:58: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ CollectionOneToOneMatcher.java:59: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ ConstructorStrategy.java:197: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
