Appendable_ThreadSafe @ AClassDefineSingleTest.java:25: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AbstractAutowireCapableBeanFactory.java:741: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ AbstractBeanFactory.java:906: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ AddMethodInvokeTest.java:67: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AnnotatedInstanceManager.java:282: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ AnnotatedInstanceManager.java:291: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ AnnotatedInstanceManager.java:335: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ AppendingClassFieldManager.java:19: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ AppendingClassMethodManager.java:22: 4 Unique Traces, 16 Redundant Traces, 4 Preserved, 16 Remained 
Collection_UnsafeIterator @ AutowireUtils.java:102: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ClassUtils.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ClassUtils.java:98: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CompileMemoryTest.java:119: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ConfigurationLoader.java:171: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ConstructorArgumentValues.java:73: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ ConstructorArgumentValues.java:78: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsafeIterator @ DatabaseModule.java:269: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ DbUnitModule.java:428: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ DefaultListableBeanFactory.java:418: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DefaultListableBeanFactory.java:518: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ DefaultSingletonBeanRegistry.java:505: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DefaultUnitilsTransactionManager.java:181: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ DemoShowTest.java:172: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ExpressLoader.java:69: 6 Unique Traces, 110511 Redundant Traces, 1 Preserved, 5640 Remained 
Collection_UnsafeIterator @ ExpressLoader.java:71: 3 Unique Traces, 10038 Redundant Traces, 3 Preserved, 483 Remained 
Collection_UnsafeIterator @ ExpressPackage.java:98: 6 Unique Traces, 840 Redundant Traces, 1 Preserved, 41 Remained 
Collection_UnsafeIterator @ ExpressParse.java:302: 13 Unique Traces, 1528 Redundant Traces, 4 Preserved, 90 Remained 
Collection_UnsafeIterator @ ExpressParse.java:318: 17 Unique Traces, 324033 Redundant Traces, 4 Preserved, 16360 Remained 
Collection_UnsafeIterator @ ForInstructionFactory.java:82: 2 Unique Traces, 23 Redundant Traces, 2 Preserved, 7 Remained 
Collection_UnsafeIterator @ ForInstructionFactory.java:85: 2 Unique Traces, 23 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ InjectModule.java:100: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ InjectModule.java:154: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ InjectModule.java:167: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ InjectModule.java:180: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ InjectModule.java:193: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ InjectModule.java:203: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ InstructionSet.java:156: 5 Unique Traces, 110515 Redundant Traces, 1 Preserved, 5501 Remained 
Collection_UnsafeIterator @ InstructionSet.java:294: 5 Unique Traces, 10273 Redundant Traces, 2 Preserved, 513 Remained 
Collection_UnsafeIterator @ LoopFunctionTest.java:35: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ LoopFunctionTest.java:68: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ LoopFunctionTest.java:101: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MockModule.java:154: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ MockModule.java:165: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ MockModule.java:179: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ ModulesLoader.java:104: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ModulesLoader.java:113: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ModulesLoader.java:129: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ModulesLoader.java:146: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ ModulesLoader.java:216: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 7 Remained 
Collection_UnsafeIterator @ ModulesLoader.java:234: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ModulesRepository.java:102: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ ModulesRepository.java:166: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ NodeType.java:91: 16 Unique Traces, 114098 Redundant Traces, 7 Preserved, 5685 Remained 
Collection_UnsafeIterator @ NodeTypeManager.java:157: 7 Unique Traces, 359 Redundant Traces, 3 Preserved, 35 Remained 
Collection_UnsafeIterator @ OperatorIn.java:47: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ PropertyUtilsBean.java:2244: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ QLExpressRunStrategy.java:222: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ QLMatchResultTree.java:67: 12 Unique Traces, 324051 Redundant Traces, 1 Preserved, 16067 Remained 
Collection_UnsafeIterator @ QLMatchResultTree.java:73: 10 Unique Traces, 102096 Redundant Traces, 3 Preserved, 5121 Remained 
Collection_UnsafeIterator @ QLPattern.java:125: 11 Unique Traces, 14810479 Redundant Traces, 4 Preserved, 39996 Remained 
Collection_UnsafeIterator @ QLPattern.java:186: 17 Unique Traces, 4452324 Redundant Traces, 10 Preserved, 109990 Remained 
Collection_UnsafeIterator @ RatingTest.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RatingWithPropertyTest.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ReflectionUtils.java:260: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ ShortCircuitLogicTest.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ShortCircuitLogicTest.java:76: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SimpleApplicationEventMulticaster.java:74: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SimpleShortCircuitLogicTest.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SimpleShortCircuitLogicTest.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SpringModule.java:275: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ SpringModule.java:286: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ SpringModule.java:309: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ SpringModule.java:321: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ SpringModule.java:348: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ SpringModule.java:359: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SpringModule.java:385: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ SpringModule.java:396: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ StringUtils.java:1051: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ StringUtils.java:3133: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SubjectManager.java:26: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SubjectManager.java:28: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ SuppressPropertiesBeanIntrospector.java:87: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ Unitils.java:129: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Unitils.java:244: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Unitils.java:258: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ Unitils.java:272: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ Unitils.java:286: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ Unitils.java:300: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ Unitils.java:314: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsynchronizedAddAll @ AnnotationUtils.java:55: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsynchronizedAddAll @ AnnotationUtils.java:112: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
Collection_UnsynchronizedAddAll @ BeanDefinitionParserDelegate.java:443: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsynchronizedAddAll @ ClassUtils.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ ClassUtils.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ DefaultUnitilsTransactionManager.java:192: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ ExpressParse.java:66: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsynchronizedAddAll @ ExpressRunner.java:817: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsynchronizedAddAll @ MethodOverrides.java:60: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsynchronizedAddAll @ ModulesLoader.java:131: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsynchronizedAddAll @ QLMatchResult.java:25: 1499 Unique Traces, 643671 Redundant Traces, 1498 Preserved, 643671 Remained 
Collection_UnsynchronizedAddAll @ QLMatchResultTree.java:43: 2993 Unique Traces, 423807 Redundant Traces, 2993 Preserved, 423807 Remained 
Collection_UnsynchronizedAddAll @ QLMatchResultTree.java:50: 2037 Unique Traces, 100940 Redundant Traces, 2037 Preserved, 100939 Remained 
Collection_UnsynchronizedAddAll @ QLPattern.java:158: 1507 Unique Traces, 320870 Redundant Traces, 91 Preserved, 15961 Remained 
Collection_UnsynchronizedAddAll @ QLPattern.java:218: 94 Unique Traces, 24 Redundant Traces, 94 Preserved, 24 Remained 
Collection_UnsynchronizedAddAll @ QLPattern.java:226: 1754 Unique Traces, 320924 Redundant Traces, 1754 Preserved, 320924 Remained 
Collection_UnsynchronizedAddAll @ ReflectionUtils.java:541: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsynchronizedAddAll @ ReflectionUtils.java:543: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ AbstractApplicationContext.java:526: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AbstractApplicationContext.java:535: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AbstractApplicationContext.java:589: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AbstractApplicationContext.java:598: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AbstractBeanFactory.java:646: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AnnotatedInstanceManager.java:277: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ AppendingClassFieldManager.java:15: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AppendingClassMethodManager.java:18: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ ArrayPropertyMixTest.java:35: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BreakInstructionFactory.java:16: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ CompileMemoryTest.java:111: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ContinueInstructionFactory.java:16: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ DefaultListableBeanFactory.java:473: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DefaultUnitilsTransactionManager.java:192: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ DemoShowTest.java:127: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ ExpressNode.java:177: 17 Unique Traces, 324091 Redundant Traces, 5 Preserved, 16390 Remained 
Collections_SortBeforeBinarySearch @ ExpressPackage.java:28: 3 Unique Traces, 291 Redundant Traces, 1 Preserved, 31 Remained 
Collections_SortBeforeBinarySearch @ ExpressParse.java:70: 64 Unique Traces, 110454 Redundant Traces, 64 Preserved, 110454 Remained 
Collections_SortBeforeBinarySearch @ ExpressParse.java:277: 71 Unique Traces, 110442 Redundant Traces, 71 Preserved, 110442 Remained 
Collections_SortBeforeBinarySearch @ ExpressParse.java:400: 4 Unique Traces, 2 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ExpressRunner.java:817: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ ExpressUtil.java:333: 4 Unique Traces, 14 Redundant Traces, 4 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ ExpressUtil.java:334: 4 Unique Traces, 14 Redundant Traces, 4 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ ExpressUtil.java:380: 8 Unique Traces, 59 Redundant Traces, 5 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ ExpressUtil.java:387: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ InTest.java:22: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ InstructionSet.java:224: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ InstructionSet.java:236: 3 Unique Traces, 31 Redundant Traces, 3 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ LambdaTest.java:39: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LoopFunctionTest.java:138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ModulesLoader.java:124: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ModulesLoader.java:131: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ModulesLoader.java:157: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ModulesRepository.java:104: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ NodeType.java:40: 2 Unique Traces, 43095 Redundant Traces, 1 Preserved, 2193 Remained 
Collections_SortBeforeBinarySearch @ NodeTypeManager.java:159: 1 Unique Traces, 365 Redundant Traces, 1 Preserved, 29 Remained 
Collections_SortBeforeBinarySearch @ OperatorAnonymousNewList.java:26: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ OperatorBase.java:63: 2 Unique Traces, 5 Redundant Traces, 2 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ PropertyUtils.java:105: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PropertyUtilsBean.java:189: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ QLMatchResult.java:12: 254 Unique Traces, 110168 Redundant Traces, 254 Preserved, 110168 Remained 
Collections_SortBeforeBinarySearch @ QLMatchResult.java:20: 63 Unique Traces, 28 Redundant Traces, 63 Preserved, 28 Remained 
Collections_SortBeforeBinarySearch @ QLMatchResultTree.java:43: 2 Unique Traces, 325257 Redundant Traces, 2 Preserved, 16410 Remained 
Collections_SortBeforeBinarySearch @ QLMatchResultTree.java:50: 5 Unique Traces, 102972 Redundant Traces, 2 Preserved, 5139 Remained 
Collections_SortBeforeBinarySearch @ QLPattern.java:158: 551 Unique Traces, 321826 Redundant Traces, 37 Preserved, 16113 Remained 
Collections_SortBeforeBinarySearch @ QLPattern.java:218: 43 Unique Traces, 75 Redundant Traces, 42 Preserved, 75 Remained 
Collections_SortBeforeBinarySearch @ QLPattern.java:226: 918 Unique Traces, 321760 Redundant Traces, 918 Preserved, 321760 Remained 
Collections_SortBeforeBinarySearch @ QLPatternNode.java:151: 10 Unique Traces, 20615 Redundant Traces, 5 Preserved, 1047 Remained 
Collections_SortBeforeBinarySearch @ QLPatternNode.java:159: 18 Unique Traces, 12448 Redundant Traces, 4 Preserved, 640 Remained 
Collections_SortBeforeBinarySearch @ QLPatternNode.java:220: 1 Unique Traces, 17324 Redundant Traces, 1 Preserved, 872 Remained 
Collections_SortBeforeBinarySearch @ StringUtils.java:620: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ StringUtils.java:1007: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ SubjectManager.java:34: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ WordSplit.java:89: 11 Unique Traces, 18 Redundant Traces, 11 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ WordSplit.java:97: 145 Unique Traces, 90 Redundant Traces, 145 Preserved, 90 Remained 
Collections_SortBeforeBinarySearch @ WordSplit.java:111: 116 Unique Traces, 100109 Redundant Traces, 116 Preserved, 100109 Remained 
Collections_SortBeforeBinarySearch @ WordSplit.java:113: 13 Unique Traces, 2 Redundant Traces, 13 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ WordSplit.java:126: 1 Unique Traces, 10013 Redundant Traces, 1 Preserved, 500 Remained 
Console_CloseReader @ DefaultExpressResourceLoader.java:23: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 2 Remained 
Console_CloseReader @ PrintLineExceptionTest.java:42: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseReader @ XmlValidationModeDetector.java:117: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_ManipulateAfterClose @ DefaultExpressResourceLoader.java:24: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
InputStream_ManipulateAfterClose @ IOUtils.java:176: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_ManipulateAfterClose @ PrintLineExceptionTest.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_ManipulateAfterClose @ XmlBeanDefinitionReader.java:345: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_MarkAfterClose @ DefaultExpressResourceLoader.java:24: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 2 Remained 
InputStream_MarkAfterClose @ IOUtils.java:176: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_MarkAfterClose @ PrintLineExceptionTest.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_MarkAfterClose @ XmlBeanDefinitionReader.java:345: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ AbstractApplicationContext.java:498: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ AbstractApplicationContext.java:531: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ AbstractApplicationContext.java:540: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ AbstractApplicationContext.java:551: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ AbstractApplicationContext.java:594: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ AbstractApplicationContext.java:603: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ AbstractApplicationContext.java:614: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ AbstractApplicationContext.java:696: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ AbstractApplicationContext.java:702: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ AbstractAutowireCapableBeanFactory.java:348: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ AbstractAutowireCapableBeanFactory.java:359: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ AbstractAutowireCapableBeanFactory.java:741: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ AbstractBeanFactory.java:906: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ AddMethodInvokeTest.java:67: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ AnnotatedInstanceManager.java:282: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ AnnotatedInstanceManager.java:291: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ AnnotatedInstanceManager.java:335: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ AppendingClassFieldManager.java:19: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ AppendingClassMethodManager.java:22: 4 Unique Traces, 16 Redundant Traces, 4 Preserved, 16 Remained 
Iterator_HasNext @ AutowireUtils.java:102: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ClassUtils.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ClassUtils.java:98: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CompileMemoryTest.java:119: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ConfigurationLoader.java:171: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ConstructorArgumentValues.java:73: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ ConstructorArgumentValues.java:78: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
Iterator_HasNext @ DatabaseModule.java:269: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ DbUnitModule.java:428: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ DefaultListableBeanFactory.java:418: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DefaultListableBeanFactory.java:518: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ DefaultSingletonBeanRegistry.java:505: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ DefaultUnitilsTransactionManager.java:181: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ DemoShowTest.java:172: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ExpressLoader.java:69: 6 Unique Traces, 110511 Redundant Traces, 3 Preserved, 5576 Remained 
Iterator_HasNext @ ExpressLoader.java:71: 3 Unique Traces, 10038 Redundant Traces, 3 Preserved, 520 Remained 
Iterator_HasNext @ ExpressPackage.java:98: 6 Unique Traces, 840 Redundant Traces, 3 Preserved, 92 Remained 
Iterator_HasNext @ ExpressParse.java:302: 10 Unique Traces, 1531 Redundant Traces, 5 Preserved, 115 Remained 
