Appendable_ThreadSafe @ AbstractAgiCommand.java:92: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ CollectionOneToOneMatcher.java:57: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ CollectionOneToOneMatcher.java:58: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ CompositeMappingStrategy.java:104: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ ConfigurationBuilder.java:84: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ConstructorStrategy.java:197: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ ContextInitializer.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DefaultProcessor.java:142: 3 Unique Traces, 3 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ DefaultProcessor.java:210: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DefaultProcessor.java:252: 3 Unique Traces, 9 Redundant Traces, 3 Preserved, 9 Remained 
Collection_UnsafeIterator @ DefaultProcessor.java:289: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ DynamicType.java:2962: 2 Unique Traces, 15 Redundant Traces, 2 Preserved, 15 Remained 
Collection_UnsafeIterator @ DynamicType.java:5688: 2 Unique Traces, 20 Redundant Traces, 2 Preserved, 8 Remained 
Collection_UnsafeIterator @ DynamicType.java:6089: 3 Unique Traces, 19 Redundant Traces, 3 Preserved, 16 Remained 
Collection_UnsafeIterator @ DynamicType.java:6100: 3 Unique Traces, 19 Redundant Traces, 3 Preserved, 8 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:132: 1 Unique Traces, 413 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:145: 6 Unique Traces, 1380 Redundant Traces, 2 Preserved, 73 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:200: 1 Unique Traces, 103 Redundant Traces, 1 Preserved, 26 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:213: 7 Unique Traces, 476 Redundant Traces, 4 Preserved, 29 Remained 
Collection_UnsafeIterator @ ElementMatchers.java:345: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 18 Remained 
Collection_UnsafeIterator @ ElementMatchers.java:601: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ EventAttributesHelper.java:47: 11 Unique Traces, 53 Redundant Traces, 11 Preserved, 53 Remained 
Collection_UnsafeIterator @ EventBuilderImpl.java:55: 1 Unique Traces, 44 Redundant Traces, 1 Preserved, 16 Remained 
Collection_UnsafeIterator @ EventBuilderImpl.java:138: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ EventBuilderImpl.java:215: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ FieldAttributeAppender.java:146: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 24 Remained 
Collection_UnsafeIterator @ FieldRegistry.java:133: 2 Unique Traces, 20 Redundant Traces, 2 Preserved, 20 Remained 
Collection_UnsafeIterator @ FieldRegistry.java:257: 2 Unique Traces, 29 Redundant Traces, 2 Preserved, 28 Remained 
Collection_UnsafeIterator @ FilterBuilder.java:99: 2 Unique Traces, 2164 Redundant Traces, 1 Preserved, 118 Remained 
Collection_UnsafeIterator @ FilterableList.java:124: 15 Unique Traces, 586 Redundant Traces, 4 Preserved, 34 Remained 
Collection_UnsafeIterator @ FilteredManagerListenerWrapper.java:29: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 68 Remained 
Collection_UnsafeIterator @ Implementation.java:415: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 49 Remained 
Collection_UnsafeIterator @ Implementation.java:1227: 6 Unique Traces, 16 Redundant Traces, 6 Preserved, 16 Remained 
Collection_UnsafeIterator @ Implementation.java:1239: 3 Unique Traces, 19 Redundant Traces, 2 Preserved, 5 Remained 
Collection_UnsafeIterator @ Implementation.java:1242: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ Implementation.java:1245: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ LatentMatcher.java:336: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ ListenerManager.java:55: 499 Unique Traces, 501 Redundant Traces, 499 Preserved, 501 Remained 
Collection_UnsafeIterator @ ListenerManagerTest.java:27: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Locker.java:242: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ LoggerContext.java:300: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ LoggerContext.java:312: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ LoggerFactory.java:287: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ManagerConnectionImpl.java:1331: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ ManagerConnectionImpl.java:1350: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ ManagerConnectionImpl.java:1357: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:114: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:128: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:202: 1 Unique Traces, 76 Redundant Traces, 1 Preserved, 40 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:205: 3 Unique Traces, 74 Redundant Traces, 3 Preserved, 21 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:211: 1 Unique Traces, 52 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:217: 2 Unique Traces, 75 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:470: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:483: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:132: 2 Unique Traces, 15 Redundant Traces, 2 Preserved, 15 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:173: 2 Unique Traces, 15 Redundant Traces, 2 Preserved, 9 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:319: 2 Unique Traces, 15 Redundant Traces, 2 Preserved, 15 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:407: 2 Unique Traces, 32 Redundant Traces, 2 Preserved, 7 Remained 
Collection_UnsafeIterator @ MethodConstant.java:140: 3 Unique Traces, 57 Redundant Traces, 3 Preserved, 36 Remained 
Collection_UnsafeIterator @ MethodDelegation.java:949: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:536: 3 Unique Traces, 84 Redundant Traces, 3 Preserved, 9 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:968: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:982: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:1092: 2 Unique Traces, 68 Redundant Traces, 2 Preserved, 11 Remained 
Collection_UnsafeIterator @ MethodDescription.java:524: 3 Unique Traces, 206 Redundant Traces, 2 Preserved, 17 Remained 
Collection_UnsafeIterator @ MethodDescription.java:538: 1 Unique Traces, 157 Redundant Traces, 1 Preserved, 13 Remained 
Collection_UnsafeIterator @ MethodDescription.java:549: 3 Unique Traces, 155 Redundant Traces, 2 Preserved, 38 Remained 
Collection_UnsafeIterator @ MethodDescription.java:2001: 2 Unique Traces, 66 Redundant Traces, 1 Preserved, 20 Remained 
Collection_UnsafeIterator @ MethodGraph.java:641: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ MethodGraph.java:714: 3 Unique Traces, 20 Redundant Traces, 2 Preserved, 20 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1019: 1 Unique Traces, 463 Redundant Traces, 1 Preserved, 62 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1034: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1189: 8 Unique Traces, 10 Redundant Traces, 8 Preserved, 10 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1212: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1234: 5 Unique Traces, 0 Redundant Traces, 5 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1251: 11 Unique Traces, 9 Redundant Traces, 11 Preserved, 9 Remained 
Collection_UnsafeIterator @ MethodList.java:89: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:458: 2 Unique Traces, 20 Redundant Traces, 2 Preserved, 20 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:479: 6 Unique Traces, 16 Redundant Traces, 6 Preserved, 15 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:483: 4 Unique Traces, 110 Redundant Traces, 3 Preserved, 25 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:505: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 21 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:508: 4 Unique Traces, 40 Redundant Traces, 4 Preserved, 5 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:738: 6 Unique Traces, 16 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodVariableAccess.java:233: 2 Unique Traces, 37 Redundant Traces, 2 Preserved, 12 Remained 
Collection_UnsafeIterator @ ModelInterpretationContext.java:181: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsafeIterator @ ModelInterpretationContext.java:195: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ModifierContributor.java:202: 4 Unique Traces, 301 Redundant Traces, 3 Preserved, 18 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:353: 4 Unique Traces, 16 Redundant Traces, 4 Preserved, 9 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:381: 4 Unique Traces, 21 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:387: 6 Unique Traces, 62 Redundant Traces, 6 Preserved, 62 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:395: 3 Unique Traces, 31 Redundant Traces, 2 Preserved, 5 Remained 
Collection_UnsafeIterator @ ParameterList.java:82: 2 Unique Traces, 151 Redundant Traces, 2 Preserved, 16 Remained 
Collection_UnsafeIterator @ ParameterList.java:95: 3 Unique Traces, 62 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ ParameterList.java:106: 4 Unique Traces, 2496 Redundant Traces, 4 Preserved, 134 Remained 
Collection_UnsafeIterator @ ParameterList.java:536: 2 Unique Traces, 267 Redundant Traces, 1 Preserved, 18 Remained 
Collection_UnsafeIterator @ QueryFunction.java:58: 9 Unique Traces, 209 Redundant Traces, 4 Preserved, 14 Remained 
Collection_UnsafeIterator @ RecordComponentRegistry.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ReflectionUtil.java:274: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ReflectionUtil.java:351: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Reflections.java:180: 1 Unique Traces, 239 Redundant Traces, 1 Preserved, 28 Remained 
Collection_UnsafeIterator @ Reflections.java:215: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Reflections.java:325: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Reflections.java:343: 3 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ SanityChecker.java:35: 3 Unique Traces, 26 Redundant Traces, 3 Preserved, 3 Remained 
Collection_UnsafeIterator @ SanityChecker.java:44: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ SimpleRuleStore.java:129: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ SimpleRuleStore.java:140: 4 Unique Traces, 4 Redundant Traces, 4 Preserved, 4 Remained 
Collection_UnsafeIterator @ SimpleRuleStore.java:152: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ SimpleRuleStore.java:177: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ SimpleRuleStore.java:205: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ StackManipulation.java:216: 7 Unique Traces, 1078 Redundant Traces, 3 Preserved, 79 Remained 
Collection_UnsafeIterator @ StackManipulation.java:229: 4 Unique Traces, 1021 Redundant Traces, 2 Preserved, 54 Remained 
Collection_UnsafeIterator @ StackManipulation.java:242: 10 Unique Traces, 592 Redundant Traces, 10 Preserved, 592 Remained 
Collection_UnsafeIterator @ StatusUtil.java:58: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ StatusUtil.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ StatusUtil.java:113: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SubclassDynamicTypeBuilder.java:242: 2 Unique Traces, 20 Redundant Traces, 2 Preserved, 10 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:84: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:140: 4 Unique Traces, 126 Redundant Traces, 4 Preserved, 32 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:508: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:526: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
Collection_UnsafeIterator @ Transformer.java:635: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ Transformer.java:648: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 22 Remained 
Collection_UnsafeIterator @ TypeAttributeAppender.java:87: 2 Unique Traces, 20 Redundant Traces, 2 Preserved, 20 Remained 
Collection_UnsafeIterator @ TypeAttributeAppender.java:92: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ TypeCache.java:454: 1 Unique Traces, 45 Redundant Traces, 1 Preserved, 45 Remained 
Collection_UnsafeIterator @ TypeDescription.java:1803: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ TypeDescription.java:1907: 1 Unique Traces, 140 Redundant Traces, 1 Preserved, 45 Remained 
Collection_UnsafeIterator @ TypeDescription.java:5148: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ TypeDescription.java:7777: 1 Unique Traces, 84 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsafeIterator @ TypeDescription.java:7935: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 12 Remained 
Collection_UnsafeIterator @ TypeDescription.java:7951: 2 Unique Traces, 20 Redundant Traces, 2 Preserved, 11 Remained 
Collection_UnsafeIterator @ TypeList.java:99: 4 Unique Traces, 171 Redundant Traces, 4 Preserved, 60 Remained 
Collection_UnsafeIterator @ TypeList.java:302: 3 Unique Traces, 388 Redundant Traces, 2 Preserved, 33 Remained 
Collection_UnsafeIterator @ TypeList.java:313: 1 Unique Traces, 64 Redundant Traces, 1 Preserved, 13 Remained 
Collection_UnsafeIterator @ TypeList.java:324: 4 Unique Traces, 369 Redundant Traces, 4 Preserved, 72 Remained 
Collection_UnsafeIterator @ TypeList.java:335: 5 Unique Traces, 1904 Redundant Traces, 4 Preserved, 119 Remained 
Collection_UnsafeIterator @ TypeList.java:346: 2 Unique Traces, 219 Redundant Traces, 2 Preserved, 96 Remained 
Collection_UnsafeIterator @ TypeResolutionStrategy.java:102: 2 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ TypeWriter.java:617: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsafeIterator @ TypeWriter.java:1249: 1 Unique Traces, 135 Redundant Traces, 1 Preserved, 34 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6002: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6006: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6026: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 21 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6036: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 21 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6039: 2 Unique Traces, 20 Redundant Traces, 2 Preserved, 20 Remained 
Collection_UnsafeIterator @ TypeWriter.java:6042: 6 Unique Traces, 16 Redundant Traces, 6 Preserved, 16 Remained 
Collection_UnsafeIterator @ Vfs.java:100: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsynchronizedAddAll @ AsyncAgiEvent.java:192: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsynchronizedAddAll @ BasicStatusManager.java:78: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsynchronizedAddAll @ ByteCodeAppender.java:141: 1 Unique Traces, 54 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:48: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 31 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:66: 1 Unique Traces, 39 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:82: 1 Unique Traces, 162 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsynchronizedAddAll @ CompoundList.java:83: 1 Unique Traces, 162 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsynchronizedAddAll @ ConfigurationBuilder.java:165: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ ElementMatcher.java:134: 1 Unique Traces, 165 Redundant Traces, 1 Preserved, 18 Remained 
Collection_UnsynchronizedAddAll @ ElementMatcher.java:202: 1 Unique Traces, 38 Redundant Traces, 1 Preserved, 16 Remained 
Collection_UnsynchronizedAddAll @ ElementPath.java:33: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsynchronizedAddAll @ ElementPath.java:59: 6 Unique Traces, 0 Redundant Traces, 6 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ FieldRegistry.java:123: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 30 Remained 
Collection_UnsynchronizedAddAll @ JavassistHelper.java:72: 1 Unique Traces, 239 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsynchronizedAddAll @ Locker.java:237: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ MethodGraph.java:1020: 1 Unique Traces, 463 Redundant Traces, 1 Preserved, 45 Remained 
Collection_UnsynchronizedAddAll @ MethodGraph.java:1040: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsynchronizedAddAll @ MultipleParentClassLoader.java:379: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 23 Remained 
Collection_UnsynchronizedAddAll @ Reflections.java:188: 1 Unique Traces, 479 Redundant Traces, 1 Preserved, 80 Remained 
Collection_UnsynchronizedAddAll @ Scanners.java:55: 1 Unique Traces, 239 Redundant Traces, 1 Preserved, 22 Remained 
Collection_UnsynchronizedAddAll @ Scanners.java:68: 1 Unique Traces, 239 Redundant Traces, 1 Preserved, 31 Remained 
Collection_UnsynchronizedAddAll @ StackManipulation.java:218: 1 Unique Traces, 256 Redundant Traces, 1 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ AgiReplyImplTest.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiReplyImplTest.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiReplyImplTest.java:69: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiReplyImplTest.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiReplyImplTest.java:101: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiReplyImplTest.java:121: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiReplyImplTest.java:134: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiReplyImplTest.java:148: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiReplyImplTest.java:159: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiReplyImplTest.java:177: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiReplyImplTest.java:197: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiReplyImplTest.java:209: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImpl.java:452: 2 Unique Traces, 4 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:37: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:99: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:117: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:134: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:151: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:168: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:185: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:206: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:224: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:242: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:259: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:273: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:296: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:313: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:334: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:355: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:374: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:393: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:410: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:426: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:446: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AgiRequestImplTest.java:468: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AllArguments.java:214: 2 Unique Traces, 52 Redundant Traces, 2 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ AppenderAttachableImpl.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AsteriskChannelImpl.java:270: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AsyncAgiEvent.java:192: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ BasicStatusManager.java:67: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BasicStatusManager.java:78: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeAppender.java:141: 1 Unique Traces, 54 Redundant Traces, 1 Preserved, 48 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeAppender.java:143: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
