Appendable_ThreadSafe @ ApplyScoreCommand.java:152: 1 Unique Traces, 57 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ CommandLine.java:18296: 3 Unique Traces, 198 Redundant Traces, 2 Preserved, 15 Remained 
Collection_UnsafeIterator @ CreateHtmlReportCommand.java:72: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ Excluder.java:216: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MergeEffectsCommand.java:40: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ MergeInfoCommand.java:41: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MergeScoreCommand.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MergeVariantsCommand.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ OutputFile.java:26: 5 Unique Traces, 15 Redundant Traces, 5 Preserved, 15 Remained 
Collection_UnsafeIterator @ PopulationMap.java:29: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ PopulationMap.java:36: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ ReportFile.java:77: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ ReportFile.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SamplesFile.java:72: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ CommandLine.java:3329: 1 Unique Traces, 213 Redundant Traces, 1 Preserved, 23 Remained 
Collection_UnsynchronizedAddAll @ CommandLine.java:10570: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ CommandLine.java:12752: 1 Unique Traces, 76 Redundant Traces, 1 Preserved, 58 Remained 
Collection_UnsynchronizedAddAll @ CommandLine.java:12758: 1 Unique Traces, 76 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsynchronizedAddAll @ CommandLine.java:13452: 1 Unique Traces, 74 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsynchronizedAddAll @ CommandLine.java:13905: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsynchronizedAddAll @ CommandLine.java:14633: 1 Unique Traces, 96 Redundant Traces, 1 Preserved, 96 Remained 
Collection_UnsynchronizedAddAll @ CommandLine.java:17713: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ CommandLine.java:17714: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ CommandLine.java:17715: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ CommandLine.java:17716: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ CommandLine.java:17717: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ CommandLine.java:17718: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ CommandLine.java:17804: 1 Unique Traces, 10709 Redundant Traces, 1 Preserved, 593 Remained 
Collections_SortBeforeBinarySearch @ ApplyScoreCommand.java:214: 2 Unique Traces, 56 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ ArrayWrapper.java:29: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ CollectionTypeAdapterFactory.java:83: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:2043: 1 Unique Traces, 73 Redundant Traces, 1 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:3337: 1 Unique Traces, 213 Redundant Traces, 1 Preserved, 49 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:6407: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 25 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:6415: 1 Unique Traces, 123 Redundant Traces, 1 Preserved, 43 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:6419: 1 Unique Traces, 123 Redundant Traces, 1 Preserved, 48 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:6792: 6 Unique Traces, 97 Redundant Traces, 3 Preserved, 45 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:6848: 1 Unique Traces, 80 Redundant Traces, 1 Preserved, 80 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:6885: 5 Unique Traces, 98 Redundant Traces, 3 Preserved, 24 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:6895: 3 Unique Traces, 94 Redundant Traces, 2 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:6951: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:10560: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:10570: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:10993: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:11188: 1 Unique Traces, 67 Redundant Traces, 1 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:11253: 1 Unique Traces, 135 Redundant Traces, 1 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:11789: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:11830: 1 Unique Traces, 106 Redundant Traces, 1 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12643: 2 Unique Traces, 220 Redundant Traces, 1 Preserved, 32 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12684: 10 Unique Traces, 52 Redundant Traces, 9 Preserved, 16 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12706: 6 Unique Traces, 69 Redundant Traces, 2 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12707: 4 Unique Traces, 9 Redundant Traces, 3 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12718: 3 Unique Traces, 61 Redundant Traces, 2 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12719: 10 Unique Traces, 52 Redundant Traces, 3 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12720: 3 Unique Traces, 61 Redundant Traces, 3 Preserved, 32 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12721: 1 Unique Traces, 96 Redundant Traces, 1 Preserved, 20 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12748: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12752: 1 Unique Traces, 76 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12758: 1 Unique Traces, 76 Redundant Traces, 1 Preserved, 76 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12760: 3 Unique Traces, 379 Redundant Traces, 1 Preserved, 36 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12763: 3 Unique Traces, 379 Redundant Traces, 2 Preserved, 43 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12874: 1 Unique Traces, 113 Redundant Traces, 1 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12914: 1 Unique Traces, 72 Redundant Traces, 1 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12943: 1 Unique Traces, 255 Redundant Traces, 1 Preserved, 15 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:12982: 1 Unique Traces, 22 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:13324: 1 Unique Traces, 218 Redundant Traces, 1 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:13452: 1 Unique Traces, 74 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:13470: 10 Unique Traces, 65 Redundant Traces, 7 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:13537: 6 Unique Traces, 1624 Redundant Traces, 2 Preserved, 82 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:13571: 2 Unique Traces, 73 Redundant Traces, 1 Preserved, 23 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:13574: 15 Unique Traces, 62 Redundant Traces, 3 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:13885: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:14039: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:14530: 6 Unique Traces, 19 Redundant Traces, 6 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:14538: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:14571: 2 Unique Traces, 57 Redundant Traces, 2 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:14633: 1 Unique Traces, 96 Redundant Traces, 1 Preserved, 36 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:14701: 1 Unique Traces, 96 Redundant Traces, 1 Preserved, 27 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:15562: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:15816: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:15904: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:16064: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:16087: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:16712: 2 Unique Traces, 73 Redundant Traces, 2 Preserved, 31 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:16791: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:17259: 4 Unique Traces, 5 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:17664: 1 Unique Traces, 1169 Redundant Traces, 1 Preserved, 60 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:17713: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:17714: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:17715: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:17716: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:17717: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:17718: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:17804: 1 Unique Traces, 10709 Redundant Traces, 1 Preserved, 593 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:18223: 1 Unique Traces, 81 Redundant Traces, 1 Preserved, 22 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:18242: 13 Unique Traces, 329 Redundant Traces, 6 Preserved, 32 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:18271: 66 Unique Traces, 1854 Redundant Traces, 8 Preserved, 108 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:18276: 2 Unique Traces, 1060 Redundant Traces, 2 Preserved, 56 Remained 
Collections_SortBeforeBinarySearch @ CommandLine.java:18298: 6 Unique Traces, 45 Redundant Traces, 6 Preserved, 32 Remained 
Collections_SortBeforeBinarySearch @ MergeEffectsTask.java:28: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ MergeEffectsTask.java:38: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
Collections_SortBeforeBinarySearch @ MergeReportTask.java:28: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MergeReportTask.java:38: 2 Unique Traces, 54 Redundant Traces, 2 Preserved, 19 Remained 
Collections_SortBeforeBinarySearch @ MergeScoreTask.java:28: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MergeScoreTask.java:38: 2 Unique Traces, 55 Redundant Traces, 2 Preserved, 54 Remained 
Collections_SortBeforeBinarySearch @ MergeVariantsTask.java:27: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ MergeVariantsTask.java:37: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 16 Remained 
Collections_SortBeforeBinarySearch @ OutputFile.java:34: 3 Unique Traces, 15 Redundant Traces, 3 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ OutputFile.java:36: 3 Unique Traces, 15 Redundant Traces, 3 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ PGSCatalogIDFile.java:41: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PopulationMap.java:37: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ ReportFile.java:29: 4 Unique Traces, 58 Redundant Traces, 1 Preserved, 8 Remained 
Console_CloseReader @ FileUtil.java:184: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Console_CloseWriter @ GzipLineWriter.java:32: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
InputStream_ManipulateAfterClose @ FileUtil.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_MarkAfterClose @ FileUtil.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ApplyScoreCommand.java:160: 2 Unique Traces, 56 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ ApplyScoreCommand.java:174: 2 Unique Traces, 56 Redundant Traces, 2 Preserved, 17 Remained 
Iterator_HasNext @ ApplyScoreCommand.java:368: 3 Unique Traces, 205 Redundant Traces, 1 Preserved, 28 Remained 
Iterator_HasNext @ ArrayWrapper.java:26: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ CommandLine.java:242: 2 Unique Traces, 105 Redundant Traces, 1 Preserved, 29 Remained 
Iterator_HasNext @ CommandLine.java:1299: 2 Unique Traces, 104 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_HasNext @ CommandLine.java:1327: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:1580: 2 Unique Traces, 105 Redundant Traces, 1 Preserved, 13 Remained 
Iterator_HasNext @ CommandLine.java:1988: 2 Unique Traces, 72 Redundant Traces, 2 Preserved, 30 Remained 
Iterator_HasNext @ CommandLine.java:2282: 1 Unique Traces, 73 Redundant Traces, 1 Preserved, 38 Remained 
Iterator_HasNext @ CommandLine.java:2297: 1 Unique Traces, 73 Redundant Traces, 1 Preserved, 51 Remained 
Iterator_HasNext @ CommandLine.java:2785: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:3332: 7 Unique Traces, 207 Redundant Traces, 2 Preserved, 19 Remained 
Iterator_HasNext @ CommandLine.java:5956: 2 Unique Traces, 212 Redundant Traces, 2 Preserved, 29 Remained 
Iterator_HasNext @ CommandLine.java:6413: 7 Unique Traces, 207 Redundant Traces, 1 Preserved, 20 Remained 
Iterator_HasNext @ CommandLine.java:6445: 1 Unique Traces, 106 Redundant Traces, 1 Preserved, 66 Remained 
Iterator_HasNext @ CommandLine.java:6448: 2 Unique Traces, 105 Redundant Traces, 2 Preserved, 28 Remained 
Iterator_HasNext @ CommandLine.java:6536: 7 Unique Traces, 132 Redundant Traces, 3 Preserved, 29 Remained 
Iterator_HasNext @ CommandLine.java:6537: 2 Unique Traces, 137 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_HasNext @ CommandLine.java:6538: 2 Unique Traces, 137 Redundant Traces, 2 Preserved, 26 Remained 
Iterator_HasNext @ CommandLine.java:6595: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_HasNext @ CommandLine.java:6694: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ CommandLine.java:6742: 1 Unique Traces, 213 Redundant Traces, 1 Preserved, 25 Remained 
Iterator_HasNext @ CommandLine.java:6958: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_HasNext @ CommandLine.java:6978: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_HasNext @ CommandLine.java:6981: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_HasNext @ CommandLine.java:6992: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 61 Remained 
Iterator_HasNext @ CommandLine.java:7069: 1 Unique Traces, 95 Redundant Traces, 1 Preserved, 31 Remained 
Iterator_HasNext @ CommandLine.java:7554: 3 Unique Traces, 435 Redundant Traces, 1 Preserved, 17 Remained 
Iterator_HasNext @ CommandLine.java:9432: 3 Unique Traces, 216 Redundant Traces, 2 Preserved, 46 Remained 
Iterator_HasNext @ CommandLine.java:10412: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 10 Remained 
Iterator_HasNext @ CommandLine.java:10413: 1 Unique Traces, 61 Redundant Traces, 1 Preserved, 38 Remained 
Iterator_HasNext @ CommandLine.java:10543: 1 Unique Traces, 145 Redundant Traces, 1 Preserved, 28 Remained 
Iterator_HasNext @ CommandLine.java:10560: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:10571: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:10637: 1 Unique Traces, 245 Redundant Traces, 1 Preserved, 16 Remained 
Iterator_HasNext @ CommandLine.java:10638: 1 Unique Traces, 245 Redundant Traces, 1 Preserved, 21 Remained 
Iterator_HasNext @ CommandLine.java:10666: 1 Unique Traces, 245 Redundant Traces, 1 Preserved, 47 Remained 
Iterator_HasNext @ CommandLine.java:10675: 1 Unique Traces, 245 Redundant Traces, 1 Preserved, 23 Remained 
Iterator_HasNext @ CommandLine.java:10703: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 22 Remained 
Iterator_HasNext @ CommandLine.java:10762: 1 Unique Traces, 36 Redundant Traces, 1 Preserved, 19 Remained 
Iterator_HasNext @ CommandLine.java:10770: 1 Unique Traces, 36 Redundant Traces, 1 Preserved, 31 Remained 
Iterator_HasNext @ CommandLine.java:10774: 1 Unique Traces, 36 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ CommandLine.java:11881: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 31 Remained 
Iterator_HasNext @ CommandLine.java:11894: 1 Unique Traces, 213 Redundant Traces, 1 Preserved, 12 Remained 
Iterator_HasNext @ CommandLine.java:12280: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Iterator_HasNext @ CommandLine.java:12353: 1 Unique Traces, 6045 Redundant Traces, 1 Preserved, 281 Remained 
Iterator_HasNext @ CommandLine.java:12644: 2 Unique Traces, 226 Redundant Traces, 1 Preserved, 19 Remained 
Iterator_HasNext @ CommandLine.java:12649: 2 Unique Traces, 75 Redundant Traces, 2 Preserved, 29 Remained 
Iterator_HasNext @ CommandLine.java:12918: 1 Unique Traces, 72 Redundant Traces, 1 Preserved, 16 Remained 
Iterator_HasNext @ CommandLine.java:12934: 2 Unique Traces, 224 Redundant Traces, 2 Preserved, 25 Remained 
Iterator_HasNext @ CommandLine.java:12937: 2 Unique Traces, 184 Redundant Traces, 2 Preserved, 39 Remained 
Iterator_HasNext @ CommandLine.java:12944: 2 Unique Traces, 277 Redundant Traces, 2 Preserved, 21 Remained 
Iterator_HasNext @ CommandLine.java:12945: 1 Unique Traces, 255 Redundant Traces, 1 Preserved, 24 Remained 
Iterator_HasNext @ CommandLine.java:12984: 2 Unique Traces, 58 Redundant Traces, 2 Preserved, 14 Remained 
Iterator_HasNext @ CommandLine.java:12985: 1 Unique Traces, 36 Redundant Traces, 1 Preserved, 10 Remained 
Iterator_HasNext @ CommandLine.java:13001: 2 Unique Traces, 112 Redundant Traces, 2 Preserved, 15 Remained 
Iterator_HasNext @ CommandLine.java:13016: 3 Unique Traces, 111 Redundant Traces, 2 Preserved, 24 Remained 
Iterator_HasNext @ CommandLine.java:13221: 2 Unique Traces, 71 Redundant Traces, 2 Preserved, 15 Remained 
Iterator_HasNext @ CommandLine.java:13266: 3 Unique Traces, 71 Redundant Traces, 3 Preserved, 13 Remained 
Iterator_HasNext @ CommandLine.java:13297: 1 Unique Traces, 35 Redundant Traces, 1 Preserved, 32 Remained 
Iterator_HasNext @ CommandLine.java:13305: 1 Unique Traces, 35 Redundant Traces, 1 Preserved, 19 Remained 
Iterator_HasNext @ CommandLine.java:13529: 4 Unique Traces, 73 Redundant Traces, 3 Preserved, 17 Remained 
Iterator_HasNext @ CommandLine.java:13530: 2 Unique Traces, 75 Redundant Traces, 2 Preserved, 44 Remained 
Iterator_HasNext @ CommandLine.java:13531: 2 Unique Traces, 75 Redundant Traces, 2 Preserved, 26 Remained 
Iterator_HasNext @ CommandLine.java:13532: 1 Unique Traces, 76 Redundant Traces, 1 Preserved, 39 Remained 
Iterator_HasNext @ CommandLine.java:13546: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 47 Remained 
Iterator_HasNext @ CommandLine.java:13547: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 24 Remained 
Iterator_HasNext @ CommandLine.java:13619: 1 Unique Traces, 76 Redundant Traces, 1 Preserved, 49 Remained 
Iterator_HasNext @ CommandLine.java:13674: 4 Unique Traces, 73 Redundant Traces, 3 Preserved, 42 Remained 
Iterator_HasNext @ CommandLine.java:13683: 2 Unique Traces, 75 Redundant Traces, 2 Preserved, 20 Remained 
Iterator_HasNext @ CommandLine.java:13691: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ CommandLine.java:13700: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ CommandLine.java:13891: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ CommandLine.java:14001: 1 Unique Traces, 96 Redundant Traces, 1 Preserved, 12 Remained 
Iterator_HasNext @ CommandLine.java:14534: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 6 Remained 
Iterator_HasNext @ CommandLine.java:14567: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 46 Remained 
Iterator_HasNext @ CommandLine.java:15620: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:15626: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:15632: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:15765: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:15787: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:15823: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:15849: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:15905: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:15970: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:15971: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:15980: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:15981: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:16090: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:16119: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Iterator_HasNext @ CommandLine.java:16332: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:16507: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ CommandLine.java:16519: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ CommandLine.java:16986: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:17016: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CommandLine.java:18243: 14 Unique Traces, 328 Redundant Traces, 4 Preserved, 20 Remained 
Iterator_HasNext @ CommandLine.java:18270: 42 Unique Traces, 3190 Redundant Traces, 5 Preserved, 179 Remained 
Iterator_HasNext @ CommandLine.java:18274: 4 Unique Traces, 3228 Redundant Traces, 3 Preserved, 155 Remained 
Iterator_HasNext @ CommandLine.java:18296: 3 Unique Traces, 198 Redundant Traces, 2 Preserved, 16 Remained 
Iterator_HasNext @ CreateHtmlReportCommand.java:72: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ MergeEffectsCommand.java:40: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ MergeInfoCommand.java:41: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ MergeScoreCommand.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ MergeVariantsCommand.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ OutputFile.java:26: 5 Unique Traces, 15 Redundant Traces, 5 Preserved, 15 Remained 
Iterator_HasNext @ PopulationMap.java:29: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
