Appendable_ThreadSafe @ CSVParser.java:620: 4 Unique Traces, 11 Redundant Traces, 4 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:99: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:111: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:114: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:117: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:128: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:133: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:136: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:147: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:149: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:152: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:155: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:158: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:173: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:175: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:178: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:181: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:184: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:211: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:218: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:224: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:231: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:249: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:256: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:262: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:269: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:286: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:293: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:299: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:306: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:325: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:332: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:338: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:351: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:358: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:377: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:384: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:390: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:403: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:405: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:411: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:439: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:446: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:452: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:459: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:477: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:484: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:490: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:497: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:503: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:524: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:531: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:537: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:544: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:551: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:578: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:585: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:591: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:598: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:607: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:634: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:641: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:647: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:660: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:667: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LogicalUtilTest.java:676: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MovieTest.java:501: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MovieTest.java:517: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MovieTest.java:533: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MovieTest.java:546: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MovieTest.java:557: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MovieTest.java:573: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MovieTest.java:594: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MovieTest.java:615: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MovieTest.java:637: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MovieTest.java:664: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MovieTest.java:679: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ NullTest.java:79: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ NullTest.java:113: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ NullTest.java:146: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ OrderedKeys.java:35: 31 Unique Traces, 3850 Redundant Traces, 4 Preserved, 193 Remained 
Collections_SortBeforeBinarySearch @ OrderedKeys.java:44: 1 Unique Traces, 5977 Redundant Traces, 1 Preserved, 378 Remained 
Collections_SortBeforeBinarySearch @ OrderedKeys.java:63: 5 Unique Traces, 9 Redundant Traces, 4 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ OrderedKeys.java:86: 5 Unique Traces, 3 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ OrderedKeys.java:110: 6 Unique Traces, 12 Redundant Traces, 3 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ OrderedKeys.java:133: 8 Unique Traces, 4 Redundant Traces, 8 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ OrderedKeys.java:162: 9 Unique Traces, 18 Redundant Traces, 7 Preserved, 15 Remained 
Collections_SortBeforeBinarySearch @ PojoAdapter.java:245: 9 Unique Traces, 249 Redundant Traces, 2 Preserved, 20 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:84: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:98: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:113: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:134: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:158: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:162: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:178: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:184: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:207: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:209: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:233: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:236: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:259: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:261: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:284: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:286: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:309: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:311: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:334: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:336: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:359: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:382: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:383: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:406: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:407: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:430: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:431: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:448: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:451: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:468: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RangeTest.java:469: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SearchableRange.java:67: 10 Unique Traces, 1428 Redundant Traces, 3 Preserved, 73 Remained 
Collections_SortBeforeBinarySearch @ SearchableRange.java:149: 6 Unique Traces, 57 Redundant Traces, 1 Preserved, 30 Remained 
Collections_SortBeforeBinarySearch @ SpellCheckUtil.java:150: 9 Unique Traces, 2 Redundant Traces, 8 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SpellCheckUtil.java:159: 5 Unique Traces, 4 Redundant Traces, 5 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ Store.java:113: 8 Unique Traces, 212 Redundant Traces, 8 Preserved, 212 Remained 
Collections_SortBeforeBinarySearch @ Store.java:114: 8 Unique Traces, 212 Redundant Traces, 7 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ Store.java:115: 8 Unique Traces, 212 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ Store.java:116: 8 Unique Traces, 212 Redundant Traces, 8 Preserved, 212 Remained 
Collections_SortBeforeBinarySearch @ Store.java:117: 8 Unique Traces, 212 Redundant Traces, 8 Preserved, 212 Remained 
Collections_SortBeforeBinarySearch @ Store.java:118: 8 Unique Traces, 212 Redundant Traces, 8 Preserved, 212 Remained 
Collections_SortBeforeBinarySearch @ StoreLoader.java:127: 14 Unique Traces, 119021 Redundant Traces, 1 Preserved, 5990 Remained 
Collections_SortBeforeBinarySearch @ StoreLoader.java:252: 56 Unique Traces, 15029 Redundant Traces, 2 Preserved, 754 Remained 
Collections_SortBeforeBinarySearch @ StoreLoader.java:421: 58 Unique Traces, 3255 Redundant Traces, 5 Preserved, 176 Remained 
Collections_SortBeforeBinarySearch @ StoreLoader.java:452: 14 Unique Traces, 32400 Redundant Traces, 2 Preserved, 1675 Remained 
Collections_SortBeforeBinarySearch @ StoreLoader.java:483: 116 Unique Traces, 39221 Redundant Traces, 6 Preserved, 1976 Remained 
Collections_SortBeforeBinarySearch @ StoreLoader.java:505: 114 Unique Traces, 3539 Redundant Traces, 9 Preserved, 215 Remained 
Collections_SortBeforeBinarySearch @ StoreLoader.java:603: 7 Unique Traces, 7 Redundant Traces, 7 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ StoreSearch.java:365: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ StoreSearch.java:380: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ StoreSearch.java:392: 3 Unique Traces, 72 Redundant Traces, 1 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ StoreSearch.java:478: 1 Unique Traces, 152 Redundant Traces, 1 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ StoreSearch.java:543: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ StoreSearch.java:560: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ StoreSearch.java:572: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ StoreSearch.java:606: 5 Unique Traces, 2 Redundant Traces, 5 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ StoreSearch.java:623: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ StoreSearch.java:654: 6 Unique Traces, 10 Redundant Traces, 6 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ StoreSearch.java:670: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ StoreSearch.java:704: 6 Unique Traces, 13 Redundant Traces, 6 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ StoreSearch.java:926: 12 Unique Traces, 31 Redundant Traces, 3 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ StoreSearch.java:930: 37 Unique Traces, 31 Redundant Traces, 13 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ StoreSearch.java:1047: 10 Unique Traces, 46 Redundant Traces, 1 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:103: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:117: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:131: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:145: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:160: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:177: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:180: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:198: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:201: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:217: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:231: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:245: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:259: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:273: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:287: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:301: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:324: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SurveyTest.java:343: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseReader @ CSVReader.java:457: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_HasNext @ Condition.java:320: 6 Unique Traces, 327 Redundant Traces, 2 Preserved, 17 Remained 
Iterator_HasNext @ IndexKeys31_60Test.java:224: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ KeywordSearch.java:59: 6 Unique Traces, 28 Redundant Traces, 5 Preserved, 12 Remained 
Iterator_HasNext @ KeywordSearch.java:261: 5 Unique Traces, 3 Redundant Traces, 5 Preserved, 3 Remained 
Iterator_HasNext @ KeywordSearch.java:391: 3 Unique Traces, 155 Redundant Traces, 2 Preserved, 15 Remained 
Iterator_HasNext @ KeywordSearch.java:476: 5 Unique Traces, 25 Redundant Traces, 5 Preserved, 25 Remained 
Iterator_HasNext @ LogicalUtil.java:151: 12 Unique Traces, 281 Redundant Traces, 8 Preserved, 28 Remained 
Iterator_HasNext @ LogicalUtil.java:180: 3 Unique Traces, 15 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_HasNext @ LogicalUtil.java:181: 10 Unique Traces, 1024 Redundant Traces, 2 Preserved, 90 Remained 
Iterator_HasNext @ LogicalUtil.java:186: 5 Unique Traces, 13 Redundant Traces, 5 Preserved, 13 Remained 
Iterator_HasNext @ LogicalUtil.java:188: 62 Unique Traces, 2045 Redundant Traces, 11 Preserved, 145 Remained 
Iterator_HasNext @ LogicalUtil.java:208: 5 Unique Traces, 50 Redundant Traces, 5 Preserved, 22 Remained 
Iterator_HasNext @ LogicalUtil.java:210: 42 Unique Traces, 148 Redundant Traces, 7 Preserved, 16 Remained 
Iterator_HasNext @ LogicalUtil.java:215: 4 Unique Traces, 3390 Redundant Traces, 2 Preserved, 171 Remained 
Iterator_HasNext @ LogicalUtil.java:264: 4 Unique Traces, 118 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ LogicalUtil.java:266: 22 Unique Traces, 113 Redundant Traces, 6 Preserved, 37 Remained 
Iterator_HasNext @ LogicalUtil.java:272: 10 Unique Traces, 9056 Redundant Traces, 3 Preserved, 481 Remained 
Iterator_HasNext @ MovieTest.java:350: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SearchableRangeTest.java:34: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SearchableRangeTest.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SearchableRangeTest.java:74: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SearchableRangeTest.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SearchableRangeTest.java:144: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SearchableRangeTest.java:163: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SpellCheckUtil.java:70: 7 Unique Traces, 18 Redundant Traces, 5 Preserved, 6 Remained 
Iterator_HasNext @ SpellCheckUtil.java:156: 21 Unique Traces, 15213 Redundant Traces, 6 Preserved, 823 Remained 
Iterator_HasNext @ StoreLoader.java:115: 16665 Unique Traces, 188950 Redundant Traces, 863 Preserved, 11376 Remained 
Iterator_HasNext @ StoreLoader.java:226: 17 Unique Traces, 163369 Redundant Traces, 3 Preserved, 8316 Remained 
Iterator_HasNext @ StoreLoader.java:520: 8 Unique Traces, 125 Redundant Traces, 8 Preserved, 125 Remained 
Iterator_HasNext @ StoreLoader.java:524: 8 Unique Traces, 125 Redundant Traces, 8 Preserved, 125 Remained 
Iterator_HasNext @ StoreLoader.java:539: 8 Unique Traces, 125 Redundant Traces, 7 Preserved, 13 Remained 
Iterator_HasNext @ StoreLoader.java:540: 5 Unique Traces, 4732 Redundant Traces, 2 Preserved, 232 Remained 
Iterator_HasNext @ StoreLoader.java:616: 4 Unique Traces, 390 Redundant Traces, 3 Preserved, 34 Remained 
Iterator_HasNext @ StoreSearch.java:240: 14 Unique Traces, 147 Redundant Traces, 9 Preserved, 70 Remained 
Iterator_HasNext @ StoreSearch.java:241: 70 Unique Traces, 4497 Redundant Traces, 14 Preserved, 274 Remained 
Iterator_HasNext @ StoreSearch.java:362: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 5 Remained 
Iterator_HasNext @ StoreSearch.java:374: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 6 Remained 
Iterator_HasNext @ StoreSearch.java:379: 2 Unique Traces, 12 Redundant Traces, 2 Preserved, 3 Remained 
