Appendable_ThreadSafe @ AnsiEscapes.java:23: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Iterator_HasNext @ DefaultPicoContainer.java:849: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 14 Remained 
Iterator_HasNext @ DefaultPicoContainer.java:1002: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Iterator_HasNext @ DefaultPicoContainer.java:1008: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Iterator_HasNext @ DefaultSummaryPrinter.java:29: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DelegatingResourceIteratorFactory.java:43: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 10 Remained 
Iterator_HasNext @ Env.java:45: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ Env.java:51: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ExamplesRunner.java:29: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_HasNext @ ExamplesRunner.java:49: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_HasNext @ Excluder.java:206: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ExecutionUnitRunner.java:74: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ FeatureRunner.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ FeatureRunner.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ FieldDictionary.java:131: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ FileResourceIterator.java:25: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_HasNext @ FileResourceIterator.java:72: 2 Unique Traces, 5 Redundant Traces, 2 Preserved, 5 Remained 
Iterator_HasNext @ FixJava.java:17: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Iterator_HasNext @ FlatteningIterator.java:25: 6 Unique Traces, 15 Redundant Traces, 6 Preserved, 15 Remained 
Iterator_HasNext @ Gson.java:352: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_HasNext @ I18n.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ I18n.java:94: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ IsCollectionContaining.java:24: 52 Unique Traces, 771 Redundant Traces, 52 Preserved, 771 Remained 
Iterator_HasNext @ JavaBackend.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ JavaBackend.java:91: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ JavaBackend.java:130: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 6 Remained 
Iterator_HasNext @ LocalizedXStreams.java:78: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 36 Remained 
Iterator_HasNext @ LocalizedXStreams.java:88: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ MethodScanner.java:33: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ MethodScanner.java:34: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ MethodScanner.java:56: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_HasNext @ Parser.java:247: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ Parser.java:250: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_HasNext @ PicoBuilder.java:223: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 18 Remained 
Iterator_HasNext @ PicoFactory.java:21: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ PresortedMap.java:59: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ PrioritizedList.java:87: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_HasNext @ Reflections.java:18: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ Reflections.java:28: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ ResourceLoaderClassFinder.java:22: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Iterator_HasNext @ Runtime.java:91: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ Runtime.java:140: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 17 Remained 
Iterator_HasNext @ Runtime.java:151: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ Runtime.java:211: 1 Unique Traces, 55 Redundant Traces, 1 Preserved, 25 Remained 
Iterator_HasNext @ RuntimeGlue.java:80: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 35 Remained 
Iterator_HasNext @ RuntimeGlue.java:105: 1 Unique Traces, 55 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ RuntimeGlue.java:115: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 16 Remained 
Iterator_HasNext @ RuntimeOptions.java:180: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RuntimeOptions.java:244: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RuntimeOptions.java:250: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RuntimeOptions.java:254: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RuntimeOptions.java:291: 1 Unique Traces, 348 Redundant Traces, 1 Preserved, 58 Remained 
Iterator_HasNext @ RuntimeOptionsFactory.java:87: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ScenarioImpl.java:48: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Iterator_HasNext @ ScenarioOutlineRunner.java:28: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ScenarioOutlineRunner.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ Services.java:33: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ Stats.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ StepContainer.java:32: 1 Unique Traces, 28 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_HasNext @ StepContainer.java:38: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Iterator_HasNext @ StepDefinitionMatch.java:66: 3 Unique Traces, 81 Redundant Traces, 3 Preserved, 7 Remained 
Iterator_HasNext @ UndefinedStepsTracker.java:30: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ UndefinedStepsTracker.java:59: 3 Unique Traces, 81 Redundant Traces, 3 Preserved, 9 Remained 
Iterator_RemoveOnce @ AbstractAttributedCharacterIteratorAttributeConverter.java:113: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CardTest.java:84: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CardTest.java:102: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CardTest.java:104: 1 Unique Traces, 51 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_RemoveOnce @ CardTest.java:118: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CardTest.java:120: 1 Unique Traces, 51 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ ConstructorInjector.java:136: 2 Unique Traces, 110 Redundant Traces, 2 Preserved, 31 Remained 
Iterator_RemoveOnce @ Cucumber.java:107: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CucumberFeature.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CucumberFeature.java:103: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CucumberScenarioOutline.java:62: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_RemoveOnce @ DeckTest.java:56: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ DefaultConverterLookup.java:55: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_RemoveOnce @ DefaultPicoContainer.java:1002: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_RemoveOnce @ Env.java:45: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ Env.java:51: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ExamplesRunner.java:29: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_RemoveOnce @ ExamplesRunner.java:49: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_RemoveOnce @ ExecutionUnitRunner.java:74: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Iterator_RemoveOnce @ FeatureRunner.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ FeatureRunner.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ FieldDictionary.java:132: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ FileResourceIterator.java:30: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_RemoveOnce @ FileResourceIterator.java:61: 2 Unique Traces, 5 Redundant Traces, 2 Preserved, 5 Remained 
Iterator_RemoveOnce @ FixJava.java:17: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Iterator_RemoveOnce @ FlatteningIterator.java:29: 6 Unique Traces, 15 Redundant Traces, 6 Preserved, 15 Remained 
Iterator_RemoveOnce @ Gson.java:352: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_RemoveOnce @ I18n.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ I18n.java:94: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ IsCollectionContaining.java:24: 51 Unique Traces, 566 Redundant Traces, 51 Preserved, 566 Remained 
Iterator_RemoveOnce @ JavaBackend.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ LocalizedXStreams.java:78: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_RemoveOnce @ LocalizedXStreams.java:88: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 57 Remained 
Iterator_RemoveOnce @ MethodScanner.java:33: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ MethodScanner.java:34: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ MethodScanner.java:56: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 20 Remained 
Iterator_RemoveOnce @ Parser.java:247: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ Parser.java:250: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_RemoveOnce @ PicoFactory.java:21: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_RemoveOnce @ PresortedMap.java:60: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ PrioritizedList.java:91: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_RemoveOnce @ Reflections.java:18: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ Reflections.java:28: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_RemoveOnce @ ResourceLoaderClassFinder.java:22: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 1 Remained 
Iterator_RemoveOnce @ Runtime.java:91: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ Runtime.java:140: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Iterator_RemoveOnce @ Runtime.java:151: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 20 Remained 
Iterator_RemoveOnce @ RuntimeGlue.java:80: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 17 Remained 
Iterator_RemoveOnce @ RuntimeGlue.java:116: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 25 Remained 
Iterator_RemoveOnce @ RuntimeOptions.java:180: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ RuntimeOptions.java:244: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ RuntimeOptions.java:254: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ RuntimeOptions.java:291: 1 Unique Traces, 348 Redundant Traces, 1 Preserved, 56 Remained 
Iterator_RemoveOnce @ ScenarioImpl.java:48: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 17 Remained 
Iterator_RemoveOnce @ ScenarioOutlineRunner.java:28: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ScenarioOutlineRunner.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ StepContainer.java:32: 1 Unique Traces, 28 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_RemoveOnce @ StepContainer.java:38: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_RemoveOnce @ StepDefinitionMatch.java:66: 2 Unique Traces, 54 Redundant Traces, 2 Preserved, 6 Remained 
Iterator_RemoveOnce @ UndefinedStepsTracker.java:59: 3 Unique Traces, 81 Redundant Traces, 3 Preserved, 11 Remained 
ListIterator_RemoveOnce @ Parser.java:247: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ListIterator_RemoveOnce @ Parser.java:250: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
List_UnsynchronizedSubList @ Parser.java:246: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
List_UnsynchronizedSubList @ Parser.java:247: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ AbstractAttributedCharacterIteratorAttributeConverter.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ DefaultConverterLookup.java:66: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ Env.java:51: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ I18n.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ JVM.java:138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ OrderRetainingMap.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ RuntimeGlue.java:80: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ RuntimeGlue.java:114: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ TreeSetConverter.java:61: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ AbstractAttributedCharacterIteratorAttributeConverter.java:112: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ DefaultConverterLookup.java:66: 71 Unique Traces, 0 Redundant Traces, 70 Preserved, 0 Remained 
Map_UnsafeIterator @ Env.java:51: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ I18n.java:90: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ OrderRetainingMap.java:43: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ RuntimeGlue.java:80: 85 Unique Traces, 0 Redundant Traces, 85 Preserved, 0 Remained 
Map_UnsafeIterator @ RuntimeGlue.java:114: 29 Unique Traces, 0 Redundant Traces, 29 Preserved, 0 Remained 
ServiceLoaderIterator_Remove @ Services.java:31: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ServiceLoader_MultipleConcurrentThreads @ DelegatingResourceIteratorFactory.java:16: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
ServiceLoader_MultipleConcurrentThreads @ Services.java:31: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AnsiEscapes.java:23: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ AnsiEscapes.java:41: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ Card.java:86: 1 Unique Traces, 25989654 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ CardTest.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CardTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CardTest.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CardUtil4Testing.java:60: 1 Unique Traces, 2598959 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ CombinationTest.java:69: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ CombinationTest.java:77: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ CombinationTest.java:86: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 10 Remained 
StringBuilder_ThreadSafe @ CombinationTest.java:95: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ CombinationTest.java:103: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ CombinationTest.java:115: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ CombinationTest.java:127: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ CombinationTest.java:136: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ CombinationTest.java:147: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ CombinationTest.java:160: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ CombinationTest.java:177: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ CombinationTest.java:193: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ CombinationTest.java:209: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ CucumberScenario.java:52: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ CucumberScenarioOutline.java:118: 1 Unique Traces, 335 Redundant Traces, 1 Preserved, 43 Remained 
StringBuilder_ThreadSafe @ CucumberTagStatement.java:22: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CucumberTagStatement.java:28: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 19 Remained 
StringBuilder_ThreadSafe @ En.java:586: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ En.java:940: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ ExamplesRunner.java:42: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ ExecutionUnitRunner.java:90: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 16 Remained 
StringBuilder_ThreadSafe @ FactorialPermutationTest.java:65: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ FactorialPermutationTest.java:75: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ FactorialPermutationTest.java:78: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ FactorialPermutationTest.java:83: 1 Unique Traces, 152 Redundant Traces, 1 Preserved, 77 Remained 
StringBuilder_ThreadSafe @ FeatureRunner.java:37: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ FixJava.java:19: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 19 Remained 
StringBuilder_ThreadSafe @ FixJava.java:49: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ FormatterListener.java:51: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ FormatterListener.java:56: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ FormatterListener.java:65: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 16 Remained 
StringBuilder_ThreadSafe @ HandEvaluator.java:59: 1 Unique Traces, 12995081 Redundant Traces, 1 Preserved, 10000 Remained 
StringBuilder_ThreadSafe @ HandEvaluatorTest.java:68: 1 Unique Traces, 2598959 Redundant Traces, 1 Preserved, 10000 Remained 
StringBuilder_ThreadSafe @ HandEvaluatorTest.java:172: 1 Unique Traces, 2598959 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ I18n.java:95: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ I18n.java:116: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ I18n.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ JsonReader.java:1043: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
StringBuilder_ThreadSafe @ ResourceLoaderClassFinder.java:21: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ RuntimeOptionsFactory.java:127: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StandardRepresentation.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StateMachineReader.java:16: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ Stats.java:84: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ Stats.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringTokenizer_HasMoreElements @ CardUtil4Testing.java:50: 3 Unique Traces, 57 Redundant Traces, 1 Preserved, 6 Remained 
System_WrongKeyOrValue @ Env.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ ExceptionUtil.java:39: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Throwable_InitCauseOnce @ ExceptionUtil.java:51: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Throwable_InitCauseOnce @ ExceptionUtil.java:63: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Throwable_InitCauseOnce @ ExceptionUtil.java:69: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
