Appendable_ThreadSafe @ ArrayWriteTest.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SerializedStringWriteTest.java:182: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SimpleParserTest.java:73: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ SimpleParserTest.java:325: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 28 Remained 
Appendable_ThreadSafe @ SimpleParserTest.java:365: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Appendable_ThreadSafe @ SimpleParserTest.java:641: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ StandardRepresentation.java:106: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StreamReadConstraints.java:659: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ StreamReadException.java:114: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ StreamWriteConstraints.java:182: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ StringGenerationFromReaderTest.java:101: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ StringGenerationFromReaderTest.java:104: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ StringGenerationFromReaderTest.java:107: 4 Unique Traces, 16 Redundant Traces, 4 Preserved, 16 Remained 
Appendable_ThreadSafe @ StringGenerationFromReaderTest.java:127: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 1 Remained 
Appendable_ThreadSafe @ StringGenerationFromReaderTest.java:130: 78 Unique Traces, 78 Redundant Traces, 78 Preserved, 78 Remained 
Appendable_ThreadSafe @ StringGenerationFromReaderTest.java:132: 70 Unique Traces, 70 Redundant Traces, 70 Preserved, 70 Remained 
Appendable_ThreadSafe @ StringGenerationFromReaderTest.java:291: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StringGenerationTest.java:104: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ StringGenerationTest.java:107: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ StringGenerationTest.java:110: 3 Unique Traces, 12 Redundant Traces, 2 Preserved, 12 Remained 
Appendable_ThreadSafe @ StringGenerationTest.java:130: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Appendable_ThreadSafe @ StringGenerationTest.java:133: 78 Unique Traces, 78 Redundant Traces, 78 Preserved, 78 Remained 
Appendable_ThreadSafe @ StringGenerationTest.java:135: 70 Unique Traces, 70 Redundant Traces, 70 Preserved, 70 Remained 
Appendable_ThreadSafe @ SurrogateWrite223Test.java:107: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SurrogateWrite223Test.java:110: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SurrogateWrite223Test.java:113: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SymbolsViaParserTest.java:70: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ SymbolsViaParserTest.java:89: 1 Unique Traces, 399 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ TestByteBasedSymbols.java:119: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TestByteBasedSymbols.java:191: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TestCharEscaping.java:130: 1 Unique Traces, 79 Redundant Traces, 1 Preserved, 43 Remained 
Appendable_ThreadSafe @ TestCharEscaping.java:131: 1 Unique Traces, 79 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ TestCharEscaping.java:133: 1 Unique Traces, 79 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ TestCharEscaping.java:267: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ TestCharEscaping.java:285: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TestCustomEscaping.java:181: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ TestCustomEscaping.java:197: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ TestCustomEscaping.java:213: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ TestCustomEscaping.java:222: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ TestCustomEscaping.java:238: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ TestHashCollisionChars.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TestHashCollisionChars.java:103: 1 Unique Traces, 1295 Redundant Traces, 1 Preserved, 64 Remained 
Appendable_ThreadSafe @ TestJsonStringEncoder.java:37: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TestJsonStringEncoder.java:55: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TestJsonStringEncoder.java:56: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TestJsonStringEncoder.java:72: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TestJsonStringEncoder.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TestJsonStringEncoder.java:138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TestJsonStringEncoder.java:202: 8 Unique Traces, 1 Redundant Traces, 7 Preserved, 1 Remained 
Appendable_ThreadSafe @ TestSymbolTables.java:93: 1 Unique Traces, 24999 Redundant Traces, 1 Preserved, 1267 Remained 
Appendable_ThreadSafe @ TestSymbolTables.java:128: 1 Unique Traces, 24999 Redundant Traces, 1 Preserved, 1241 Remained 
Appendable_ThreadSafe @ TestSymbolTables.java:297: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TestSymbolTables.java:309: 1 Unique Traces, 399 Redundant Traces, 1 Preserved, 69 Remained 
Appendable_ThreadSafe @ TestSymbolTables.java:413: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ TestWithTonsaSymbols.java:70: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ TextBuffer.java:498: 7 Unique Traces, 942 Redundant Traces, 1 Preserved, 99 Remained 
Appendable_ThreadSafe @ TextBuffer.java:502: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TextBufferTest.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TextBufferTest.java:57: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ToDecimalChecker.java:85: 1 Unique Traces, 5908977 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ TrailingCommasTest.java:391: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ UTF32Reader.java:187: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ UTF32Reader.java:193: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ UTF8DataInputJsonParser.java:366: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ UTF8DataInputJsonParser.java:375: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ UTF8DataInputJsonParser.java:578: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ UTF8DataInputJsonParser.java:2134: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ UTF8DataInputJsonParser.java:2137: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ UTF8DataInputJsonParser.java:2242: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ UTF8DataInputJsonParser.java:2776: 5 Unique Traces, 16 Redundant Traces, 3 Preserved, 4 Remained 
Appendable_ThreadSafe @ UTF8DataInputJsonParser.java:2779: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ UTF8NamesParseTest.java:79: 1 Unique Traces, 32 Redundant Traces, 1 Preserved, 27 Remained 
Appendable_ThreadSafe @ UTF8NamesParseTest.java:115: 1 Unique Traces, 35 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ UTF8NamesParseTest.java:146: 1 Unique Traces, 32 Redundant Traces, 1 Preserved, 32 Remained 
Appendable_ThreadSafe @ UTF8NamesParseTest.java:162: 1 Unique Traces, 35 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ UTF8NamesParseTest.java:205: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 3 Remained 
Appendable_ThreadSafe @ UTF8StreamJsonParser.java:513: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ UTF8StreamJsonParser.java:520: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ UTF8StreamJsonParser.java:738: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ UTF8StreamJsonParser.java:2749: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ UTF8StreamJsonParser.java:2752: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ UTF8StreamJsonParser.java:3229: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ UTF8StreamJsonParser.java:3656: 8 Unique Traces, 36 Redundant Traces, 8 Preserved, 25 Remained 
Appendable_ThreadSafe @ UTF8Writer.java:375: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ UTF8Writer.java:393: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ UTF8WriterTest.java:24: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ UTF8WriterTest.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Version.java:105: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ Version.java:111: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Appendable_ThreadSafe @ VersionUtil.java:64: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ VersionUtil.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ WriterBasedJsonGenerator.java:301: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ WriterBasedJsonGenerator.java:356: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ByteArrayOutputStream_FlushBeforeRetrieve @ GeneratorMiscTest.java:182: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ByteArrayOutputStream_FlushBeforeRetrieve @ JUnit5TestBase.java:454: 2 Unique Traces, 19 Redundant Traces, 2 Preserved, 5 Remained 
ByteArrayOutputStream_FlushBeforeRetrieve @ LargeNumberWriteTest.java:86: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ByteArrayOutputStream_FlushBeforeRetrieve @ LargeNumberWriteTest.java:134: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AsyncMissingValuesInArrayTest.java:24: 3 Unique Traces, 17 Redundant Traces, 3 Preserved, 9 Remained 
Collection_UnsafeIterator @ AsyncMissingValuesInObjectTest.java:24: 3 Unique Traces, 17 Redundant Traces, 3 Preserved, 17 Remained 
Collection_UnsafeIterator @ Base64CodecTest.java:163: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ByteArrayBuilder.java:168: 9 Unique Traces, 407 Redundant Traces, 1 Preserved, 25 Remained 
Collection_UnsafeIterator @ FastIntegerMath.java:117: 5 Unique Traces, 23 Redundant Traces, 5 Preserved, 9 Remained 
Collection_UnsafeIterator @ GeneratorFiltering890Test.java:59: 4 Unique Traces, 26 Redundant Traces, 4 Preserved, 26 Remained 
Collection_UnsafeIterator @ JsonFactory.java:2141: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ RawStringWriteTest.java:29: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RawStringWriteTest.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RawStringWriteTest.java:63: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RawStringWriteTest.java:74: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SimpleParserTest.java:321: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ TestHashCollisionChars.java:47: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ TrailingCommasTest.java:26: 3 Unique Traces, 193 Redundant Traces, 3 Preserved, 43 Remained 
Collections_SortBeforeBinarySearch @ AsyncConcurrencyTest.java:153: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 38 Remained 
Collections_SortBeforeBinarySearch @ AsyncMissingValuesInArrayTest.java:33: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ AsyncMissingValuesInObjectTest.java:33: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ BasicParserFilteringTest.java:140: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ByteArrayBuilder.java:335: 7 Unique Traces, 56 Redundant Traces, 1 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ GeneratorFiltering890Test.java:71: 2 Unique Traces, 10 Redundant Traces, 2 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ JsonParserClosedCaseTest.java:80: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ JsonParserSequence.java:124: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ JsonPointer.java:860: 4 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ RawStringWriteTest.java:145: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ TSFBuilder.java:347: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ TestHashCollisionChars.java:103: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ TextBuffer.java:1010: 6 Unique Traces, 967 Redundant Traces, 2 Preserved, 46 Remained 
Collections_SortBeforeBinarySearch @ TextBuffer.java:1176: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ TrailingCommasTest.java:37: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Console_CloseReader @ Fuzz32208UTF32ParseTest.java:68: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseReader @ Fuzz32208UTF32ParseTest.java:97: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Console_CloseReader @ ReaderBasedJsonParser.java:203: 2 Unique Traces, 18894 Redundant Traces, 1 Preserved, 888 Remained 
Console_CloseWriter @ SegmentedStringWriterTest.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseWriter @ SimpleParserTest.java:505: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseWriter @ TestRootValues.java:206: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseWriter @ UTF8NamesParseTest.java:214: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Console_CloseWriter @ UTF8NamesParseTest.java:231: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Console_CloseWriter @ UTF8WriterTest.java:30: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseWriter @ UTF8WriterTest.java:53: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseWriter @ UTF8WriterTest.java:72: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseWriter @ UTF8WriterTest.java:91: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseWriter @ UTF8WriterTest.java:101: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseWriter @ UTF8WriterTest.java:116: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseWriter @ UTF8WriterTest.java:125: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseWriter @ UTF8WriterTest.java:133: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseWriter @ UTF8WriterTest.java:141: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseWriter @ WriterBasedJsonGenerator.java:1033: 7 Unique Traces, 757 Redundant Traces, 1 Preserved, 38 Remained 
InputStream_ManipulateAfterClose @ JUnit5TestBase.java:440: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 3 Remained 
InputStream_ManipulateAfterClose @ JUnit5TestBase.java:470: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 17 Remained 
InputStream_ManipulateAfterClose @ JsonFactory.java:1880: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
InputStream_ManipulateAfterClose @ LargeNumberWriteTest.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_ManipulateAfterClose @ LargeNumberWriteTest.java:144: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_ManipulateAfterClose @ MergedStream.java:43: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
InputStream_ManipulateAfterClose @ MergedStreamTest.java:52: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_ManipulateAfterClose @ UTF32Reader.java:80: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
InputStream_ManipulateAfterClose @ UTF8StreamJsonParser.java:251: 3 Unique Traces, 609 Redundant Traces, 1 Preserved, 43 Remained 
InputStream_MarkAfterClose @ DataFormatMatcherTest.java:31: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_MarkAfterClose @ JUnit5TestBase.java:440: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
InputStream_MarkAfterClose @ JUnit5TestBase.java:470: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 2 Remained 
InputStream_MarkAfterClose @ JsonFactory.java:1880: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
InputStream_MarkAfterClose @ MergedStream.java:43: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
InputStream_MarkAfterClose @ MergedStreamTest.java:35: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_MarkAfterClose @ UTF32Reader.java:80: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 2 Remained 
InputStream_MarkAfterClose @ UTF8StreamJsonParser.java:251: 3 Unique Traces, 18349 Redundant Traces, 2 Preserved, 940 Remained 
Iterator_HasNext @ AsyncMissingValuesInArrayTest.java:24: 3 Unique Traces, 17 Redundant Traces, 3 Preserved, 17 Remained 
Iterator_HasNext @ AsyncMissingValuesInObjectTest.java:24: 3 Unique Traces, 17 Redundant Traces, 3 Preserved, 8 Remained 
Iterator_HasNext @ Base64CodecTest.java:163: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ByteArrayBuilder.java:168: 8 Unique Traces, 408 Redundant Traces, 1 Preserved, 32 Remained 
Iterator_HasNext @ FastIntegerMath.java:117: 5 Unique Traces, 23 Redundant Traces, 5 Preserved, 23 Remained 
Iterator_HasNext @ GeneratorFiltering890Test.java:59: 4 Unique Traces, 26 Redundant Traces, 4 Preserved, 26 Remained 
Iterator_HasNext @ JsonFactory.java:2141: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ RawStringWriteTest.java:29: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RawStringWriteTest.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RawStringWriteTest.java:63: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RawStringWriteTest.java:74: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ Services.java:35: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SimpleParserTest.java:321: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ TestHashCollisionChars.java:47: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ TrailingCommasTest.java:26: 3 Unique Traces, 193 Redundant Traces, 3 Preserved, 16 Remained 
Iterator_RemoveOnce @ AsyncMissingValuesInArrayTest.java:24: 2 Unique Traces, 13 Redundant Traces, 2 Preserved, 13 Remained 
Iterator_RemoveOnce @ AsyncMissingValuesInObjectTest.java:24: 2 Unique Traces, 13 Redundant Traces, 2 Preserved, 13 Remained 
Iterator_RemoveOnce @ Base64CodecTest.java:163: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ByteArrayBuilder.java:168: 7 Unique Traces, 56 Redundant Traces, 3 Preserved, 14 Remained 
Iterator_RemoveOnce @ FastIntegerMath.java:118: 5 Unique Traces, 23 Redundant Traces, 5 Preserved, 21 Remained 
Iterator_RemoveOnce @ GeneratorFiltering890Test.java:59: 2 Unique Traces, 28 Redundant Traces, 2 Preserved, 26 Remained 
Iterator_RemoveOnce @ JsonFactory.java:2141: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ RawStringWriteTest.java:29: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ RawStringWriteTest.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ RawStringWriteTest.java:63: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ RawStringWriteTest.java:74: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SimpleParserTest.java:321: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ TestHashCollisionChars.java:47: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ TrailingCommasTest.java:26: 2 Unique Traces, 193 Redundant Traces, 2 Preserved, 19 Remained 
ListIterator_RemoveOnce @ ByteArrayBuilder.java:168: 7 Unique Traces, 56 Redundant Traces, 7 Preserved, 56 Remained 
Map_CollectionViewAdd @ FastIntegerMath.java:117: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 5 Remained 
Map_CollectionViewAdd @ SimpleParserTest.java:321: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_UnsafeIterator @ FastIntegerMath.java:117: 6 Unique Traces, 50 Redundant Traces, 6 Preserved, 22 Remained 
Map_UnsafeIterator @ SimpleParserTest.java:321: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 1 Remained 
OutputStream_ManipulateAfterClose @ ByteArrayBuilderTest.java:38: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
OutputStream_ManipulateAfterClose @ JUnit5TestBase.java:456: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 8 Remained 
OutputStream_ManipulateAfterClose @ LargeNumberWriteTest.java:98: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
OutputStream_ManipulateAfterClose @ LargeNumberWriteTest.java:145: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
OutputStream_ManipulateAfterClose @ UTF8JsonGenerator.java:1250: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 8 Remained 
Reader_ManipulateAfterClose @ Fuzz32208UTF32ParseTest.java:68: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Reader_ManipulateAfterClose @ Fuzz32208UTF32ParseTest.java:97: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Reader_ManipulateAfterClose @ ReaderBasedJsonParser.java:203: 2 Unique Traces, 18894 Redundant Traces, 1 Preserved, 989 Remained 
ServiceLoaderIterator_Remove @ Services.java:33: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ServiceLoaderIterator_Remove @ Services.java:45: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ServiceLoader_MultipleConcurrentThreads @ Services.java:33: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ServiceLoader_MultipleConcurrentThreads @ Services.java:45: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ArrayWriteTest.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AsyncCommentParsingTest.java:118: 1 Unique Traces, 44 Redundant Traces, 1 Preserved, 44 Remained 
StringBuilder_ThreadSafe @ AsyncCommentParsingTest.java:157: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 26 Remained 
StringBuilder_ThreadSafe @ AsyncMissingValuesInArrayTest.java:219: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
