Appendable_ThreadSafe @ AnnotationHandler.java:207: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_HasNext @ ConstructorScannerTest.java:125: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ConstructorScannerTest.java:151: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ConverterMapTest.java:43: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ DefaultAnnotationTest.java:161: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DetailScannerTest.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DynamicMapOfAttributesTest.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DynamicMapOfAttributesTest.java:48: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ ExampleConverters.java:166: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ FieldScannerDefaultTest.java:119: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ FieldScannerTest.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ GroupExtractor.java:175: 2 Unique Traces, 8 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ InstantiatorBuilder.java:244: 5 Unique Traces, 16 Redundant Traces, 4 Preserved, 7 Remained 
Iterator_HasNext @ LabelMap.java:99: 5 Unique Traces, 39 Redundant Traces, 2 Preserved, 11 Remained 
Iterator_HasNext @ LabelMap.java:121: 5 Unique Traces, 41 Redundant Traces, 2 Preserved, 9 Remained 
Iterator_HasNext @ MethodContactTest.java:69: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ MethodContactTest.java:105: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_HasNext @ MethodScanner.java:143: 2 Unique Traces, 87 Redundant Traces, 1 Preserved, 32 Remained 
Iterator_HasNext @ MethodScanner.java:182: 7 Unique Traces, 11 Redundant Traces, 7 Preserved, 11 Remained 
Iterator_HasNext @ MethodScannerDefaultTest.java:253: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_HasNext @ MethodScannerTest.java:116: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ MethodScannerTest.java:162: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ MethodScannerTest.java:175: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ModelList.java:55: 2 Unique Traces, 56 Redundant Traces, 1 Preserved, 18 Remained 
Iterator_HasNext @ ModelList.java:70: 2 Unique Traces, 60 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ OrderTest.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ PathStructureTest.java:241: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Iterator_HasNext @ PathStructureTest.java:244: 3 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ PrefixResolver.java:139: 1 Unique Traces, 35 Redundant Traces, 1 Preserved, 33 Remained 
Iterator_HasNext @ PrimitiveInlineList.java:220: 4 Unique Traces, 18 Redundant Traces, 3 Preserved, 15 Remained 
Iterator_HasNext @ PrimitiveList.java:225: 4 Unique Traces, 15 Redundant Traces, 2 Preserved, 6 Remained 
Iterator_HasNext @ Resolver.java:150: 4 Unique Traces, 13 Redundant Traces, 4 Preserved, 13 Remained 
Iterator_HasNext @ ResolverTest.java:113: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ScannerTest.java:141: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ScannerTest.java:149: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ScannerTest.java:168: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ScannerTest.java:178: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ Signature.java:259: 4 Unique Traces, 39 Redundant Traces, 4 Preserved, 23 Remained 
Iterator_HasNext @ SignatureCreator.java:157: 7 Unique Traces, 77 Redundant Traces, 7 Preserved, 62 Remained 
Iterator_HasNext @ SignatureCreator.java:199: 4 Unique Traces, 20 Redundant Traces, 3 Preserved, 6 Remained 
Iterator_HasNext @ SignatureScanner.java:152: 1 Unique Traces, 38 Redundant Traces, 1 Preserved, 21 Remained 
Iterator_HasNext @ SignatureScannerTest.java:97: 4 Unique Traces, 11 Redundant Traces, 3 Preserved, 11 Remained 
Iterator_HasNext @ StreamReader.java:160: 3 Unique Traces, 9 Redundant Traces, 3 Preserved, 8 Remained 
Iterator_HasNext @ StructureBuilder.java:220: 3 Unique Traces, 25 Redundant Traces, 3 Preserved, 18 Remained 
Iterator_HasNext @ StructureBuilder.java:561: 4 Unique Traces, 8 Redundant Traces, 4 Preserved, 8 Remained 
Iterator_HasNext @ TextList.java:136: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 60 Remained 
Iterator_HasNext @ TreeModel.java:450: 3 Unique Traces, 14 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ TreeModel.java:601: 2 Unique Traces, 227 Redundant Traces, 2 Preserved, 70 Remained 
Iterator_HasNext @ TreeModel.java:602: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 13 Remained 
Iterator_RemoveOnce @ ClassInstantiator.java:130: 4 Unique Traces, 28 Redundant Traces, 2 Preserved, 16 Remained 
Iterator_RemoveOnce @ CollectionTest.java:416: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CollectionTest.java:438: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CollectionTest.java:462: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CollectionTest.java:486: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CollectionTest.java:510: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CollectionTest.java:534: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CollectionTest.java:558: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CollectionTest.java:580: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CollectionTest.java:600: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CollectionTest.java:624: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CollectionTest.java:648: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CollectionTest.java:672: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CollectionTest.java:698: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CollectionTest.java:722: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ Composite.java:409: 6 Unique Traces, 32986 Redundant Traces, 3 Preserved, 1599 Remained 
Iterator_RemoveOnce @ Composite.java:642: 3 Unique Traces, 11 Redundant Traces, 2 Preserved, 8 Remained 
Iterator_RemoveOnce @ Composite.java:742: 3 Unique Traces, 35 Redundant Traces, 3 Preserved, 8 Remained 
Iterator_RemoveOnce @ Composite.java:922: 3 Unique Traces, 13 Redundant Traces, 3 Preserved, 13 Remained 
Iterator_RemoveOnce @ Composite.java:1053: 5 Unique Traces, 10823 Redundant Traces, 2 Preserved, 595 Remained 
Iterator_RemoveOnce @ CompositeInlineList.java:260: 5 Unique Traces, 37 Redundant Traces, 4 Preserved, 17 Remained 
Iterator_RemoveOnce @ CompositeInlineMap.java:244: 4 Unique Traces, 15 Redundant Traces, 3 Preserved, 11 Remained 
Iterator_RemoveOnce @ CompositeList.java:240: 8 Unique Traces, 1180 Redundant Traces, 7 Preserved, 129 Remained 
Iterator_RemoveOnce @ CompositeListUnion.java:266: 5 Unique Traces, 9 Redundant Traces, 3 Preserved, 3 Remained 
Iterator_RemoveOnce @ CompositeMap.java:251: 4 Unique Traces, 1507 Redundant Traces, 1 Preserved, 79 Remained 
Iterator_RemoveOnce @ CompositeMapUnion.java:188: 3 Unique Traces, 29 Redundant Traces, 3 Preserved, 29 Remained 
Iterator_RemoveOnce @ ConstructorScannerTest.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ConstructorScannerTest.java:125: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ConstructorScannerTest.java:151: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ConverterMapTest.java:43: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ DefaultAnnotationTest.java:161: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ DetailScannerTest.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ DynamicMapOfAttributesTest.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ DynamicMapOfAttributesTest.java:48: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ ExampleConverters.java:166: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ FieldScannerDefaultTest.java:119: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_RemoveOnce @ FieldScannerTest.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ GroupExtractor.java:175: 3 Unique Traces, 20 Redundant Traces, 2 Preserved, 10 Remained 
Iterator_RemoveOnce @ InputNodeMap.java:75: 6 Unique Traces, 49703 Redundant Traces, 5 Preserved, 2567 Remained 
Iterator_RemoveOnce @ InstantiatorBuilder.java:222: 4 Unique Traces, 17 Redundant Traces, 3 Preserved, 9 Remained 
Iterator_RemoveOnce @ InstantiatorBuilder.java:244: 4 Unique Traces, 12 Redundant Traces, 3 Preserved, 5 Remained 
Iterator_RemoveOnce @ LabelMap.java:99: 4 Unique Traces, 46 Redundant Traces, 2 Preserved, 30 Remained 
Iterator_RemoveOnce @ LabelMap.java:121: 6 Unique Traces, 70 Redundant Traces, 3 Preserved, 19 Remained 
Iterator_RemoveOnce @ MethodContactTest.java:69: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ MethodContactTest.java:105: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ MethodScanner.java:143: 5 Unique Traces, 35 Redundant Traces, 5 Preserved, 35 Remained 
Iterator_RemoveOnce @ MethodScanner.java:182: 4 Unique Traces, 4 Redundant Traces, 4 Preserved, 3 Remained 
Iterator_RemoveOnce @ MethodScanner.java:418: 5 Unique Traces, 5 Redundant Traces, 3 Preserved, 2 Remained 
Iterator_RemoveOnce @ MethodScanner.java:491: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ MethodScannerDefaultTest.java:253: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_RemoveOnce @ MethodScannerTest.java:116: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ MethodScannerTest.java:162: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ MethodScannerTest.java:175: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ModelList.java:55: 2 Unique Traces, 169 Redundant Traces, 2 Preserved, 128 Remained 
Iterator_RemoveOnce @ ModelList.java:70: 1 Unique Traces, 75 Redundant Traces, 1 Preserved, 32 Remained 
Iterator_RemoveOnce @ ModelMap.java:65: 5 Unique Traces, 37 Redundant Traces, 2 Preserved, 12 Remained 
Iterator_RemoveOnce @ NamespaceDecorator.java:131: 2 Unique Traces, 26 Redundant Traces, 1 Preserved, 12 Remained 
Iterator_RemoveOnce @ NodeWriter.java:347: 6 Unique Traces, 25647 Redundant Traces, 4 Preserved, 1311 Remained 
Iterator_RemoveOnce @ NodeWriter.java:367: 2 Unique Traces, 35 Redundant Traces, 1 Preserved, 20 Remained 
Iterator_RemoveOnce @ ObjectScanner.java:455: 3 Unique Traces, 11 Redundant Traces, 3 Preserved, 9 Remained 
Iterator_RemoveOnce @ OrderTest.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ PathStructureTest.java:241: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Iterator_RemoveOnce @ PathStructureTest.java:244: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Iterator_RemoveOnce @ PrefixResolver.java:139: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Iterator_RemoveOnce @ PrimitiveInlineList.java:220: 4 Unique Traces, 8 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ PrimitiveList.java:225: 4 Unique Traces, 17 Redundant Traces, 3 Preserved, 12 Remained 
Iterator_RemoveOnce @ Resolver.java:150: 4 Unique Traces, 13 Redundant Traces, 4 Preserved, 13 Remained 
Iterator_RemoveOnce @ ResolverTest.java:114: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ScannerTest.java:141: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ScannerTest.java:149: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ScannerTest.java:168: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ScannerTest.java:178: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ Signature.java:259: 4 Unique Traces, 14 Redundant Traces, 3 Preserved, 4 Remained 
Iterator_RemoveOnce @ SignatureCreator.java:157: 4 Unique Traces, 39 Redundant Traces, 3 Preserved, 29 Remained 
Iterator_RemoveOnce @ SignatureCreator.java:199: 6 Unique Traces, 53 Redundant Traces, 4 Preserved, 32 Remained 
Iterator_RemoveOnce @ SignatureScanner.java:152: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 21 Remained 
Iterator_RemoveOnce @ SignatureScannerTest.java:97: 6 Unique Traces, 41 Redundant Traces, 6 Preserved, 41 Remained 
Iterator_RemoveOnce @ StreamReader.java:161: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_RemoveOnce @ StructureBuilder.java:220: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ StructureBuilder.java:561: 3 Unique Traces, 9 Redundant Traces, 3 Preserved, 9 Remained 
Iterator_RemoveOnce @ TextList.java:136: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ TreeModel.java:399: 4 Unique Traces, 48 Redundant Traces, 3 Preserved, 15 Remained 
Iterator_RemoveOnce @ TreeModel.java:447: 4 Unique Traces, 19 Redundant Traces, 2 Preserved, 8 Remained 
Iterator_RemoveOnce @ TreeModel.java:450: 2 Unique Traces, 35 Redundant Traces, 1 Preserved, 24 Remained 
Iterator_RemoveOnce @ TreeModel.java:475: 3 Unique Traces, 39 Redundant Traces, 2 Preserved, 6 Remained 
Iterator_RemoveOnce @ TreeModel.java:601: 1 Unique Traces, 98 Redundant Traces, 1 Preserved, 54 Remained 
Iterator_RemoveOnce @ TreeModel.java:602: 1 Unique Traces, 103 Redundant Traces, 1 Preserved, 71 Remained 
ListIterator_RemoveOnce @ CompositeInlineList.java:260: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
ListIterator_RemoveOnce @ CompositeList.java:240: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
ListIterator_RemoveOnce @ CompositeListUnion.java:266: 3 Unique Traces, 13 Redundant Traces, 3 Preserved, 13 Remained 
ListIterator_RemoveOnce @ DetailScannerTest.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ListIterator_RemoveOnce @ MethodScanner.java:182: 7 Unique Traces, 11 Redundant Traces, 7 Preserved, 11 Remained 
ListIterator_RemoveOnce @ PrimitiveList.java:225: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
ListIterator_RemoveOnce @ Resolver.java:150: 4 Unique Traces, 13 Redundant Traces, 4 Preserved, 13 Remained 
ListIterator_RemoveOnce @ StructureBuilder.java:220: 3 Unique Traces, 14 Redundant Traces, 2 Preserved, 6 Remained 
Map_CollectionViewAdd @ Collector.java:189: 4 Unique Traces, 33 Redundant Traces, 4 Preserved, 25 Remained 
Map_CollectionViewAdd @ CompositeInlineMap.java:244: 3 Unique Traces, 11 Redundant Traces, 2 Preserved, 7 Remained 
Map_CollectionViewAdd @ CompositeMap.java:251: 5 Unique Traces, 8 Redundant Traces, 3 Preserved, 4 Remained 
Map_CollectionViewAdd @ CompositeMapUnion.java:188: 3 Unique Traces, 4 Redundant Traces, 3 Preserved, 4 Remained 
Map_CollectionViewAdd @ ConverterMapTest.java:41: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ Dictionary.java:100: 3 Unique Traces, 7 Redundant Traces, 2 Preserved, 7 Remained 
Map_CollectionViewAdd @ DynamicMapOfAttributesTest.java:46: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ GroupExtractor.java:304: 3 Unique Traces, 10 Redundant Traces, 3 Preserved, 6 Remained 
Map_CollectionViewAdd @ OrderTest.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ Collector.java:189: 28 Unique Traces, 273 Redundant Traces, 11 Preserved, 13 Remained 
Map_UnsafeIterator @ CompositeInlineMap.java:244: 42 Unique Traces, 244 Redundant Traces, 42 Preserved, 244 Remained 
Map_UnsafeIterator @ CompositeMap.java:251: 30089 Unique Traces, 234 Redundant Traces, 30089 Preserved, 234 Remained 
Map_UnsafeIterator @ CompositeMapUnion.java:188: 25 Unique Traces, 15 Redundant Traces, 25 Preserved, 15 Remained 
Map_UnsafeIterator @ ConverterMapTest.java:43: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Map_UnsafeIterator @ Dictionary.java:100: 37 Unique Traces, 26 Redundant Traces, 37 Preserved, 26 Remained 
Map_UnsafeIterator @ DynamicMapOfAttributesTest.java:48: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Map_UnsafeIterator @ GroupExtractor.java:304: 18 Unique Traces, 152 Redundant Traces, 12 Preserved, 75 Remained 
Map_UnsafeIterator @ OrderTest.java:71: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
OutputStream_ManipulateAfterClose @ Base64EncoderTest.java:17: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
OutputStream_ManipulateAfterClose @ CompressionOutputStream.java:60: 1 Unique Traces, 1459 Redundant Traces, 1 Preserved, 78 Remained 
OutputStream_ManipulateAfterClose @ ValidationTestCase.java:463: 1 Unique Traces, 68 Redundant Traces, 1 Preserved, 31 Remained 
StringBuilder_ThreadSafe @ AnnotationHandler.java:207: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CallbackTest.java:204: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CallbackTest.java:205: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CamelCaseBuilder.java:155: 5 Unique Traces, 132 Redundant Traces, 2 Preserved, 21 Remained 
StringBuilder_ThreadSafe @ CharacterArrayTransform.java:140: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ HackJobToGrabFloatingTextTest.java:38: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ HyphenBuilder.java:123: 5 Unique Traces, 108 Redundant Traces, 2 Preserved, 17 Remained 
StringBuilder_ThreadSafe @ MethodCollector.java:31: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ NoAnnotationsRequiredTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NoAnnotationsRequiredTest.java:102: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NoAnnotationsRequiredTest.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NoAnnotationsRequiredTest.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NoAnnotationsRequiredTest.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NoAnnotationsRequiredTest.java:138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NoAnnotationsRequiredTest.java:146: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NoAnnotationsRequiredTest.java:154: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NoAnnotationsRequiredTest.java:162: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NoAnnotationsRequiredTest.java:170: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ PackageParser.java:17: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 21 Remained 
StringBuilder_ThreadSafe @ PackageParser.java:21: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 6 Remained 
StringBuilder_ThreadSafe @ PathParser.java:303: 1 Unique Traces, 72 Redundant Traces, 1 Preserved, 19 Remained 
StringBuilder_ThreadSafe @ PathParser.java:349: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ PathParser.java:463: 4 Unique Traces, 73 Redundant Traces, 4 Preserved, 62 Remained 
StringBuilder_ThreadSafe @ PathParser.java:466: 7 Unique Traces, 47 Redundant Traces, 2 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ PathParser.java:472: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ PathParserTest.java:319: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ PerformanceTest.java:229: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ PerformanceTest.java:230: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ PerformanceTest.java:234: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ProviderInformationTest.java:135: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ Reflection.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SignatureBuilderTest.java:75: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ SimpleConstructorInjectionTest.java:22: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StackOverflowTest.java:62: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StringArrayTransform.java:150: 3 Unique Traces, 4580 Redundant Traces, 2 Preserved, 231 Remained 
StringBuilder_ThreadSafe @ Timer.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ValidationTestCase.java:68: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 65 Remained 
StringBuilder_ThreadSafe @ ValidationTestCase.java:98: 1 Unique Traces, 42 Redundant Traces, 1 Preserved, 35 Remained 
StringBuilder_ThreadSafe @ ValidationTestCase.java:112: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ ValidationTestCase.java:177: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
StringBuilder_ThreadSafe @ ValidationTestCase.java:179: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ ValidationTestCase.java:287: 1 Unique Traces, 28 Redundant Traces, 1 Preserved, 23 Remained 
StringBuilder_ThreadSafe @ ValidationTestCase.java:307: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ ValidationTestCase.java:368: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ ValidationTestCase.java:387: 1 Unique Traces, 57 Redundant Traces, 1 Preserved, 56 Remained 
Thread_StartOnce @ DateFormatterTest.java:34: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Thread_StartOnce @ DateFormatterTest.java:44: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Thread_StartOnce @ DateFormatterTest.java:54: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Thread_StartOnce @ MultiThreadedPersisterTest.java:84: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Throwable_InitCauseOnce @ OutputDocument.java:349: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
