Appendable_ThreadSafe @ AnswerSet.java:115: 1 Unique Traces, 616 Redundant Traces, 1 Preserved, 58 Remained 
Map_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:124: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:202: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ SimpleSignatureShuffleSharderTests.java:294: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AnswerSet.java:115: 1 Unique Traces, 616 Redundant Traces, 1 Preserved, 56 Remained 
StringBuilder_ThreadSafe @ AnswerSet.java:122: 1 Unique Traces, 616 Redundant Traces, 1 Preserved, 33 Remained 
StringBuilder_ThreadSafe @ ResourceRecord.java:114: 1 Unique Traces, 706 Redundant Traces, 1 Preserved, 42 Remained 
StringBuilder_ThreadSafe @ ResourceRecord.java:115: 1 Unique Traces, 706 Redundant Traces, 1 Preserved, 42 Remained 
StringBuilder_ThreadSafe @ RubberTree.java:88: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RubberTree.java:100: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RubberTree.java:102: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RubberTree.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SimpleSignatureShuffleSharder.java:90: 1 Unique Traces, 129999 Redundant Traces, 1 Preserved, 6446 Remained 
Throwable_InitCauseOnce @ StatefulSearchingShuffleSharder.java:116: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
